"model","fold","o","p","DLONG","DLAT","autofit_model","autofit_psill","autofit_range","autofit_kappa"
"lm",1,3.25809653802148,2.30200924200714,120.4861,-28.51064,NA,NA,NA,NA
"lm",1,2.484906649788,2.19874993807239,120.49488,-28.49414,NA,NA,NA,NA
"lm",1,4.27666611901606,2.27658684025447,120.45822,-28.49214,NA,NA,NA,NA
"lm",1,2.30258509299405,2.24059657023632,120.5647,-28.48232,NA,NA,NA,NA
"lm",1,2.89037175789616,2.6073580462928,120.31014,-28.45715,NA,NA,NA,NA
"lm",1,1.09861228866811,3.05403286147425,120.25857,-28.43639,NA,NA,NA,NA
"lm",1,3.04452243772342,2.77255229362036,120.29261,-28.42104,NA,NA,NA,NA
"lm",1,2.484906649788,2.74470624250751,120.44339,-28.41644,NA,NA,NA,NA
"lm",1,2.63905732961526,2.83427985224186,120.38929,-28.41181,NA,NA,NA,NA
"lm",1,2.484906649788,3.01835049265627,120.1658,-28.39938,NA,NA,NA,NA
"lm",1,3.04452243772342,3.4057377743926,120.15079,-28.39013,NA,NA,NA,NA
"lm",1,2.07944154167984,2.80600352662143,120.33861,-28.37846,NA,NA,NA,NA
"lm",1,1.6094379124341,2.44517933191801,120.64138,-28.36232,NA,NA,NA,NA
"lm",1,1.38629436111989,2.26193742310236,120.74894,-28.35935,NA,NA,NA,NA
"lm",1,3.71357206670431,3.07565373557141,121.06975,-28.33466,NA,NA,NA,NA
"lm",1,2.56494935746154,2.35384001238133,120.07036,-28.32967,NA,NA,NA,NA
"lm",1,3.36729582998647,2.65095337791606,120.21318,-28.31409,NA,NA,NA,NA
"lm",1,1.94591014905531,3.24707299750746,121.09755,-28.29952,NA,NA,NA,NA
"lm",1,2.07944154167984,2.55284643559637,120.29755,-28.29935,NA,NA,NA,NA
"lm",1,1.09861228866811,2.67302427094439,120.61472,-28.29676,NA,NA,NA,NA
"lm",1,1.6094379124341,2.69850538454511,120.80632,-28.28944,NA,NA,NA,NA
"lm",1,2.07944154167984,2.93061131246448,120.34233,-28.28314,NA,NA,NA,NA
"lm",1,2.63905732961526,3.29038193580114,120.45584,-28.28031,NA,NA,NA,NA
"lm",1,3.49650756146648,3.22614621862816,120.47018,-28.27403,NA,NA,NA,NA
"lm",1,4.40671924726425,3.22621866912337,120.47007,-28.274,NA,NA,NA,NA
"lm",1,4.55387689160054,3.22627959340344,120.47104,-28.27388,NA,NA,NA,NA
"lm",1,3.49650756146648,3.22637674293111,120.47467,-28.27345,NA,NA,NA,NA
"lm",1,3.43398720448515,3.22639485555492,120.476,-28.27328,NA,NA,NA,NA
"lm",1,2.70805020110221,3.22637344972679,120.47617,-28.27327,NA,NA,NA,NA
"lm",1,2.07944154167984,3.22630923224239,120.47653,-28.27326,NA,NA,NA,NA
"lm",1,3.76120011569356,3.22651011770639,120.47668,-28.27313,NA,NA,NA,NA
"lm",1,1.38629436111989,2.26456243557635,120.24751,-28.26111,NA,NA,NA,NA
"lm",1,1.79175946922805,2.59594119374323,120.45526,-28.25692,NA,NA,NA,NA
"lm",1,2.99573227355399,2.73235711617205,120.42219,-28.24572,NA,NA,NA,NA
"lm",1,4.17438726989564,3.23537538144436,120.8729,-28.24239,NA,NA,NA,NA
"lm",1,2.30258509299405,2.16419230085197,120.2483,-28.24124,NA,NA,NA,NA
"lm",1,2.63905732961526,2.48385029083598,120.37454,-28.23702,NA,NA,NA,NA
"lm",1,2.30258509299405,2.3122536607185,120.33334,-28.23531,NA,NA,NA,NA
"lm",1,4.35670882668959,3.46396171974093,121.03916,-28.23325,NA,NA,NA,NA
"lm",1,3.25809653802148,3.0256133824508,120.5894,-28.2296,NA,NA,NA,NA
"lm",1,3.43398720448515,3.44733287062801,121.05273,-28.22525,NA,NA,NA,NA
"lm",1,4.17438726989564,3.35517536933023,120.90232,-28.22247,NA,NA,NA,NA
"lm",1,4.68582808900555,3.79549155570581,120.89085,-28.20257,NA,NA,NA,NA
"lm",1,4.70138904372863,3.78961977238916,120.88673,-28.20232,NA,NA,NA,NA
"lm",1,2.484906649788,2.23926505370692,120.29393,-28.18798,NA,NA,NA,NA
"lm",1,2.94443897916644,3.74280138885706,120.71763,-28.17481,NA,NA,NA,NA
"lm",1,2.99573227355399,2.92342816069062,121.0969,-28.16755,NA,NA,NA,NA
"lm",1,2.30258509299405,1.61268900843634,120.20667,-28.16088,NA,NA,NA,NA
"lm",1,2.89037175789616,2.79878824945488,121.07542,-28.15903,NA,NA,NA,NA
"lm",1,3.46573590279973,2.82918054065603,120.45028,-28.15127,NA,NA,NA,NA
"lm",1,1.6094379124341,3.00227558790067,121.09475,-28.14376,NA,NA,NA,NA
"lm",1,0.693147180559945,3.56606990791993,120.72917,-28.13653,NA,NA,NA,NA
"lm",1,3.68887945411394,3.14287302943701,120.98367,-28.12928,NA,NA,NA,NA
"lm",1,2.63905732961526,3.21558628823527,120.70793,-28.11802,NA,NA,NA,NA
"lm",1,3.25809653802148,3.33196488590396,120.45228,-28.11621,NA,NA,NA,NA
"lm",1,2.83321334405622,3.16745734472138,121.0984,-28.1142,NA,NA,NA,NA
"lm",1,1.6094379124341,3.86487559757552,120.56841,-28.11098,NA,NA,NA,NA
"lm",1,4.25632167829882,3.32130797814545,120.49601,-28.1092,NA,NA,NA,NA
"lm",1,3.61091791264422,3.61761266621219,120.57474,-28.10871,NA,NA,NA,NA
"lm",1,2.70805020110221,3.66234965581639,120.57696,-28.10771,NA,NA,NA,NA
"lm",1,2.484906649788,3.43938243299321,120.4827,-28.10649,NA,NA,NA,NA
"lm",1,3.58351893845611,3.13927432772155,120.68897,-28.09908,NA,NA,NA,NA
"lm",1,2.07944154167984,2.50058781064114,120.31058,-28.09364,NA,NA,NA,NA
"lm",1,4.8283137373023,3.59421968404494,120.57495,-28.08709,NA,NA,NA,NA
"lm",1,5.20948615284142,3.50820310964675,120.49461,-28.08298,NA,NA,NA,NA
"lm",1,4.29045944114839,3.50939195640912,120.49392,-28.08289,NA,NA,NA,NA
"lm",1,2.484906649788,3.38724882370875,120.46387,-28.08217,NA,NA,NA,NA
"lm",1,3.97029191355212,3.5760435533221,120.48041,-28.08089,NA,NA,NA,NA
"lm",1,2.484906649788,1.60781558892908,120.24313,-28.07827,NA,NA,NA,NA
"lm",1,1.38629436111989,3.21486713870662,121.15795,-28.06763,NA,NA,NA,NA
"lm",1,1.09861228866811,2.77295007562687,120.88164,-28.06638,NA,NA,NA,NA
"lm",1,3.98898404656427,3.41909918196125,120.64849,-28.06449,NA,NA,NA,NA
"lm",1,2.56494935746154,3.03657518163415,121.07704,-28.0617,NA,NA,NA,NA
"lm",1,2.30258509299405,3.08008058534614,120.98548,-28.05237,NA,NA,NA,NA
"lm",1,4.70048036579242,3.46135336277156,120.60454,-28.05237,NA,NA,NA,NA
"lm",1,2.77258872223978,2.4199051269341,120.38254,-28.04697,NA,NA,NA,NA
