"k","model","o","p"
2,"hier_lm",2.484906649788,2.3816496908438
2,"hier_lm",3.40119738166216,2.49448456760218
2,"hier_lm",2.484906649788,2.44131005822707
2,"hier_lm",1.38629436111989,2.01474890782192
2,"hier_lm",1.62334081760309,1.98609555741012
2,"hier_lm",2.70805020110221,2.06743961484436
2,"hier_lm",2.01490302054226,1.89536070624131
2,"hier_lm",2.83321334405622,3.27990861906523
2,"hier_lm",3.40119738166216,2.87838961514888
2,"hier_lm",3.68887945411394,3.27643721039499
2,"hier_lm",2.39789527279837,2.48671322272791
2,"hier_lm",2.484906649788,2.24588401958384
2,"hier_lm",2.56494935746154,3.05635594087295
2,"hier_lm",3.46573590279973,2.95558672425993
2,"hier_lm",2.94443897916644,2.3344904858834
2,"hier_lm",2.99573227355399,2.69101463188211
2,"hier_lm",1.48160454092422,2.12165786380445
2,"hier_lm",2.07944154167984,2.42879547210706
2,"hier_lm",2.83321334405622,2.60719603732901
2,"hier_lm",3.17805383034795,2.70100753884951
2,"hier_lm",3.2188758248682,2.87605574897577
2,"hier_lm",3.04452243772342,2.65978222991096
2,"hier_lm",4.00733318523247,2.66999891581068
2,"hier_lm",1.09861228866811,2.07967970933782
2,"hier_lm",1.56861591791385,2.08437442338775
2,"hier_lm",3.04452243772342,2.78749736463153
2,"hier_lm",2.16332302566054,2.77727755845908
2,"hier_lm",1.38629436111989,2.35086559071367
2,"hier_lm",1.6094379124341,2.34954655726252
2,"hier_lm",1.09861228866811,2.35001591531144
2,"hier_lm",1.94591014905531,2.35202351230331
2,"hier_lm",1.6094379124341,2.35687516530354
2,"hier_lm",1.94591014905531,2.35911071356429
2,"hier_lm",1.79175946922805,2.35958460704922
2,"hier_lm",2.99573227355399,2.57302640686941
2,"hier_lm",2.56494935746154,2.18096888205694
2,"hier_lm",2.83321334405622,2.27512698239837
2,"hier_lm",2.89037175789616,2.47414769158889
2,"hier_lm",2.99573227355399,2.60237637944769
2,"hier_lm",3.3322045101752,2.53769876779199
2,"hier_lm",2.70805020110221,2.37848377373115
2,"hier_lm",2.89037175789616,2.50732998416047
2,"hier_lm",2.89037175789616,2.21569326005503
2,"hier_lm",2.56494935746154,2.5489862394932
2,"hier_lm",2.56494935746154,2.61886515859839
2,"hier_lm",2.99573227355399,2.45736020482151
2,"hier_lm",2.39789527279837,1.86538961727295
2,"hier_lm",2.94443897916644,2.83653433740157
2,"hier_lm",2.94443897916644,1.86028824148753
2,"hier_lm",3.09104245335832,2.15629199233669
2,"hier_lm",2.39789527279837,2.21858657587346
2,"hier_lm",2.10413415427021,2.01406148307184
2,"hier_lm",3.09104245335832,2.71058518524872
2,"hier_lm",2.14006616349627,3.20625986603838
2,"hier_lm",2.39789527279837,3.28052042195074
2,"hier_lm",2.70805020110221,3.07559979210723
2,"hier_lm",1.22377543162212,1.92856641465244
2,"hier_lm",0.955511445027436,2.13119707489985
2,"hier_lm",3.01993696225081,2.40629661028335
2,"hier_lm",0.693147180559945,2.45837356639889
2,"hier_lm",0.693147180559945,1.87595185620184
2,"hier_lm",1.79175946922805,1.87129307377481
2,"hier_lm",2.30258509299405,2.12205056668275
2,"hier_lm",2.56494935746154,2.20145372721415
2,"hier_lm",2.484906649788,2.34937719655865
2,"hier_lm",3.3322045101752,2.64257141366197
2,"hier_lm",2.99573227355399,2.84725539404154
2,"hier_lm",2.30258509299405,1.92120010436913
2,"hier_lm",2.02814824729229,1.97455060103699
2,"hier_lm",1.6094379124341,2.75850563193895
2,"hier_lm",1.09861228866811,2.35917535988355
2,"hier_lm",0.693147180559945,2.37502982023841
2,"hier_lm",1.38629436111989,2.37577682032939
2,"hier_lm",2.23001440015921,2.42953522044424
2,"hier_lm",2.70805020110221,2.86359990724523
2,"hier_lm",2.56494935746154,3.22054349488179
2,"hier_lm",1.90210752639692,2.01631550327196
2,"hier_lm",3.09104245335832,2.66954278256374
2,"hier_lm",1.90210752639692,2.24402105697805
2,"hier_lm",2.77258872223978,2.2285581716912
2,"hier_lm",2.89037175789616,2.42693735308516
2,"hier_lm",2.83321334405622,2.20799468481897
2,"hier_lm",3.25809653802148,2.24551120470999
2,"hier_lm",1.70474809223843,2.11787490734321
2,"hier_lm",2.01490302054226,1.83112409735499
2,"hier_lm",3.17805383034795,2.5233143624351
2,"hier_lm",2.63905732961526,2.64996046112279
2,"hier_lm",3.31054301339402,2.25937947898056
2,"hier_lm",2.89037175789616,2.89032190461842
2,"hier_lm",2.18605127673809,1.74283573041997
2,"hier_lm",2.42745407503992,2.20165153589486
2,"hier_lm",3.25809653802148,2.96681321983601
2,"hier_lm",2.36743606531366,3.00888277574606
2,"hier_lm",2.484906649788,2.23733554584292
2,"hier_lm",2.07944154167984,2.10641627366051
2,"hier_lm",3.7635229971097,3.41001352046152
2,"hier_lm",2.47653840011748,2.12690040072192
2,"hier_lm",1.11514159061932,2.12541768618599
2,"hier_lm",3.8458832029236,3.00136144154206
2,"hier_lm",3.43559880837949,2.29768885905442
2,"hier_lm",3.40119738166216,2.29501393028988
2,"hier_lm",2.484906649788,2.644135827134
2,"hier_lm",2.21920348405499,2.35550963839664
2,"hier_lm",2.53369681395743,2.27898858504747
2,"hier_lm",3.17387845893747,2.35311121484432
2,"hier_lm",3.36384159511839,2.8860471491614
2,"hier_lm",3.43398720448515,3.09109351287398
2,"hier_lm",3.04452243772342,2.70636495837379
2,"hier_lm",2.99573227355399,2.74915195765588
2,"hier_lm",1.38629436111989,1.76754497877854
2,"hier_lm",1.09861228866811,1.96931142673341
2,"hier_lm",1.09861228866811,1.82170523218483
2,"hier_lm",1.70474809223843,1.82119733350091
2,"hier_lm",1.09861228866811,2.24945837822786
2,"hier_lm",1.38629436111989,2.25074393068643
2,"hier_lm",1.38629436111989,1.93632213658115
2,"hier_lm",2.83321334405622,2.98039504327724
2,"hier_lm",2.89037175789616,2.61213349228916
2,"hier_lm",2.39789527279837,1.99938849041668
2,"hier_lm",2.56494935746154,2.06655486471615
2,"hier_lm",2.83321334405622,2.49237555440807
2,"hier_lm",2.99573227355399,2.46949327554891
2,"hier_lm",3.43398720448515,3.09382920945733
2,"hier_lm",3.04452243772342,2.8860152564913
2,"hier_lm",2.30258509299405,2.15068073784684
2,"hier_lm",1.65441127807683,2.45848945298733
2,"hier_lm",3.13549421592915,2.86449247263877
2,"hier_lm",3.3322045101752,2.80121341343591
2,"hier_lm",3.09104245335832,2.7872182209311
2,"hier_lm",2.70805020110221,2.65072791926986
2,"hier_lm",2.19722457733622,2.43426648834925
2,"hier_lm",3.09104245335832,2.50106678272113
2,"hier_lm",2.83321334405622,2.74652219584227
2,"hier_lm",3.80666248977032,2.6081498247759
2,"hier_lm",3.3322045101752,2.92049993049181
2,"hier_lm",1.38629436111989,2.01147552144817
2,"hier_lm",2.19722457733622,2.77206980622188
2,"hier_lm",3.43398720448515,3.22178098366291
2,"hier_lm",3.66356164612965,3.24371623189519
2,"hier_lm",3.61091791264422,2.7371879545425
2,"hier_lm",2.39789527279837,2.47990548527419
2,"hier_lm",3.49650756146648,3.06386113461877
2,"hier_lm",3.13549421592915,2.95087412458136
2,"hier_lm",2.56494935746154,3.11141491620471
2,"hier_lm",1.6094379124341,1.71779253385761
2,"hier_lm",1.09861228866811,1.71317210833167
2,"hier_lm",1.79175946922805,1.72019354908765
2,"hier_lm",0.693147180559945,1.70221127911858
2,"hier_lm",2.56494935746154,2.64608757478763
2,"hier_lm",1.94591014905531,2.27813136273362
2,"hier_lm",2.12584791449399,1.50128260694484
2,"hier_lm",1.94591014905531,2.32033886018496
2,"hier_lm",1.38629436111989,1.82505995973517
2,"hier_lm",1.38629436111989,1.98676528064599
2,"hier_lm",3.04452243772342,3.23739465171576
