"model","fold","o","p","DLONG","DLAT","autofit_model","autofit_psill","autofit_range","autofit_kappa"
"lm",1,2.484906649788,2.52300552111935,120.5213099,-28.51561621,NA,NA,NA,NA
"lm",1,3.40119738166216,2.75657515249326,120.4861,-28.51063622,NA,NA,NA,NA
"lm",1,2.484906649788,2.55615217671702,120.51093,-28.4834662,NA,NA,NA,NA
"lm",1,1.38629436111989,2.23889420736366,120.5350799,-28.46949619,NA,NA,NA,NA
"lm",1,1.62334081760309,2.20670614649342,120.5397799,-28.46802619,NA,NA,NA,NA
"lm",1,2.70805020110221,2.20367928457233,120.5529899,-28.46445618,NA,NA,NA,NA
"lm",1,2.01490302054226,2.12505880950555,120.53735,-28.45540618,NA,NA,NA,NA
"lm",1,2.83321334405622,3.33578260911606,120.1262801,-28.42503631,NA,NA,NA,NA
"lm",1,3.40119738166216,2.78548626981414,120.2926098,-28.42103616,NA,NA,NA,NA
"lm",1,3.68887945411394,3.06033287869883,120.38929,-28.4118062,NA,NA,NA,NA
"lm",1,2.39789527279837,2.59124093236083,120.7724398,-28.39545615,NA,NA,NA,NA
"lm",1,2.484906649788,2.23401637102983,120.6818299,-28.39466614,NA,NA,NA,NA
"lm",1,2.56494935746154,2.92397626684121,120.33861,-28.37845617,NA,NA,NA,NA
"lm",1,3.46573590279973,2.72733411764048,120.5491799,-28.36575613,NA,NA,NA,NA
"lm",1,2.94443897916644,2.3942226185412,120.6413799,-28.36231613,NA,NA,NA,NA
"lm",1,2.99573227355399,2.59644144588221,120.47469,-28.34894615,NA,NA,NA,NA
"lm",1,1.48160454092422,2.18285170103105,121.08417,-28.32619642,NA,NA,NA,NA
"lm",1,2.07944154167984,2.40129569933493,120.40505,-28.31949616,NA,NA,NA,NA
"lm",1,2.83321334405622,2.73697867369979,120.7122899,-28.31584612,NA,NA,NA,NA
"lm",1,3.17805383034795,2.84516527606154,120.2131801,-28.3140863,NA,NA,NA,NA
"lm",1,3.2188758248682,3.01239136779729,120.12238,-28.3089463,NA,NA,NA,NA
"lm",1,3.04452243772342,2.80928653270884,120.1641701,-28.3073763,NA,NA,NA,NA
"lm",1,4.00733318523247,2.77915187759947,120.7967799,-28.30736615,NA,NA,NA,NA
"lm",1,1.09861228866811,2.22995309074295,121.0975498,-28.29951669,NA,NA,NA,NA
"lm",1,1.56861591791385,2.08590307479399,121.19338,-28.29745642,NA,NA,NA,NA
"lm",1,3.04452243772342,2.8287196883775,120.6147199,-28.29675612,NA,NA,NA,NA
"lm",1,2.16332302566054,2.81741460831603,120.8063199,-28.28943617,NA,NA,NA,NA
