"k","model","o","p"
2,"hier_lm",3.63758615972639,3.47283167595338
2,"hier_lm",5.37063802812766,3.17160274078419
2,"hier_lm",3.40119738166216,3.92620706247318
2,"hier_lm",2.99573227355399,3.18391790795117
2,"hier_lm",3.52636052461616,3.40005707195173
2,"hier_lm",2.19722457733622,2.93493867705019
2,"hier_lm",3.40119738166216,3.21625969060862
2,"hier_lm",3.25809653802148,3.30038916090593
2,"hier_lm",3.40119738166216,3.19856298214754
2,"hier_lm",3.46573590279973,3.31623453604222
2,"hier_lm",3.61091791264422,3.08519741342824
2,"hier_lm",3.52636052461616,3.08865546969339
2,"hier_lm",2.89037175789616,3.06822201562323
2,"hier_lm",2.77258872223978,3.11439891454555
2,"hier_lm",2.89037175789616,3.24551154225377
2,"hier_lm",3.8286413964891,2.95370865304245
2,"hier_lm",2.89037175789616,3.01180564858309
2,"hier_lm",2.63905732961526,3.03292054120555
2,"hier_lm",4.28358656186063,3.68712583505286
2,"hier_lm",3.17805383034795,3.08889947008237
2,"hier_lm",2.70805020110221,2.95455827823161
2,"hier_lm",4.31748811353631,3.78575163287696
2,"hier_lm",2.77258872223978,3.39666907423068
2,"hier_lm",3.17805383034795,3.67072583369674
2,"hier_lm",3.09104245335832,3.10411998113081
2,"hier_lm",1.94591014905531,3.19071166613598
2,"hier_lm",2.63905732961526,3.47610318077681
2,"hier_lm",2.99573227355399,3.34506149970142
2,"hier_lm",3.78418963391826,2.99617804017145
2,"hier_lm",2.39789527279837,3.72158348134841
2,"hier_lm",2.63905732961526,3.10958617892021
2,"hier_lm",4.56434819146784,3.67797560560204
2,"hier_lm",4.23410650459726,2.95997912839139
2,"hier_lm",4.64439089914137,3.67537616637504
2,"hier_lm",4.96284463025991,3.67537428544941
2,"hier_lm",3.17805383034795,2.9299969188379
2,"hier_lm",3.36729582998647,3.15344135203009
2,"hier_lm",3.09104245335832,2.84620274565992
2,"hier_lm",4.06044301054642,3.656631024995
2,"hier_lm",3.87120101090789,3.51501230266618
2,"hier_lm",3.68887945411394,3.27499393291021
2,"hier_lm",3.29583686600433,3.79624352154067
2,"hier_lm",4.43081679884331,3.78436412728582
2,"hier_lm",4.96284463025991,3.76426500916251
2,"hier_lm",3.40119738166216,3.35436848873282
2,"hier_lm",3.63758615972639,3.61381013607279
2,"hier_lm",3.3322045101752,2.82084320990661
2,"hier_lm",1.6094379124341,3.81754600695984
2,"hier_lm",3.78418963391826,3.59728932621102
2,"hier_lm",2.77258872223978,2.91060602556823
2,"hier_lm",3.17805383034795,4.03772617883884
2,"hier_lm",4.11087386417331,3.98483002576622
2,"hier_lm",3.17805383034795,2.65424878055225
2,"hier_lm",2.07944154167984,2.83188270514417
2,"hier_lm",1.79175946922805,4.1219532738731
2,"hier_lm",3.68887945411394,3.65202650281212
2,"hier_lm",2.83321334405622,3.2556848820866
2,"hier_lm",4.29045944114839,4.14883873865964
2,"hier_lm",2.484906649788,2.72700656475884
2,"hier_lm",4.77068462446567,4.15024634146192
2,"hier_lm",4.75359019110636,4.15070089849027
2,"hier_lm",3.98898404656427,4.09532548403962
2,"hier_lm",4.11087386417331,3.49608090987053
2,"hier_lm",3.25809653802148,3.14029624505869
2,"hier_lm",3.52636052461616,3.60424536191931
2,"hier_lm",3.58351893845611,3.89259705752573
2,"hier_lm",4.79579054559674,3.80096322139956
2,"hier_lm",4.26267987704132,3.88158849767689
2,"hier_lm",3.98898404656427,3.80629263732722
2,"hier_lm",4.35670882668959,3.80733968593048
2,"hier_lm",2.83321334405622,3.78444898906254
2,"hier_lm",2.99573227355399,3.02159838609634
2,"hier_lm",3.66356164612965,3.20932520558014
2,"hier_lm",3.46573590279973,3.75053271601091
