"o","p","region","k","model"
3.63758615972639,3.25207572778551,"3.63051689911597",2,"STK"
5.37063802812766,3.10059430637507,"2.96704993909177",2,"STK"
3.40119738166216,3.36262188997848,"3.63051689911597",2,"STK"
2.99573227355399,3.0936125605668,"2.96704993909177",2,"STK"
3.52636052461616,3.17438908858544,"2.96704993909177",2,"STK"
2.19722457733622,3.05819556115947,"3.63051689911597",2,"STK"
3.40119738166216,3.19365849776259,"2.96704993909177",2,"STK"
3.25809653802148,3.06193466741563,"2.96704993909177",2,"STK"
3.40119738166216,3.05475185375274,"2.96704993909177",2,"STK"
3.46573590279973,3.19263131744782,"2.96704993909177",2,"STK"
3.61091791264422,3.31385302439017,"3.63051689911597",2,"STK"
3.52636052461616,3.0392509360348,"2.96704993909177",2,"STK"
2.89037175789616,3.05556562062621,"2.96704993909177",2,"STK"
2.77258872223978,3.50864246373364,"3.63051689911597",2,"STK"
2.89037175789616,3.20873314943659,"2.96704993909177",2,"STK"
3.8286413964891,3.39070233224507,"3.63051689911597",2,"STK"
2.89037175789616,3.03277368756365,"2.96704993909177",2,"STK"
2.63905732961526,3.10513751541938,"3.63051689911597",2,"STK"
4.28358656186063,3.49836392392418,"3.63051689911597",2,"STK"
3.17805383034795,3.00107031775671,"2.96704993909177",2,"STK"
2.70805020110221,3.27258865740935,"3.63051689911597",2,"STK"
4.31748811353631,3.56829819625166,"3.63051689911597",2,"STK"
2.77258872223978,3.34204441855687,"3.63051689911597",2,"STK"
3.17805383034795,3.51697825417856,"3.63051689911597",2,"STK"
3.09104245335832,3.7704635674542,"3.63051689911597",2,"STK"
1.94591014905531,3.31243381659889,"3.63051689911597",2,"STK"
2.63905732961526,3.72941157947905,"3.63051689911597",2,"STK"
2.99573227355399,3.00998980509427,"2.96704993909177",2,"STK"
3.78418963391826,3.23276982660836,"3.63051689911597",2,"STK"
2.39789527279837,3.39750990365766,"3.63051689911597",2,"STK"
2.63905732961526,2.99017280417486,"2.96704993909177",2,"STK"
4.56434819146784,3.93809878784724,"3.63051689911597",2,"STK"
4.23410650459726,3.02879476413692,"2.96704993909177",2,"STK"
4.64439089914137,3.93340834454378,"3.63051689911597",2,"STK"
4.96284463025991,3.93272346880846,"3.63051689911597",2,"STK"
3.17805383034795,3.34359339475489,"3.63051689911597",2,"STK"
3.36729582998647,3.31929021024814,"3.63051689911597",2,"STK"
3.09104245335832,2.9693611710779,"2.96704993909177",2,"STK"
4.06044301054642,3.8237890055379,"3.63051689911597",2,"STK"
3.87120101090789,3.27842149181989,"3.63051689911597",2,"STK"
3.68887945411394,3.47124079771562,"3.63051689911597",2,"STK"
3.29583686600433,3.38395232026929,"3.63051689911597",2,"STK"
4.43081679884331,3.84653642709957,"3.63051689911597",2,"STK"
4.96284463025991,3.84821628007755,"3.63051689911597",2,"STK"
3.40119738166216,3.19549196759323,"3.63051689911597",2,"STK"
3.63758615972639,3.27022006833887,"3.63051689911597",2,"STK"
3.3322045101752,2.93150685358473,"2.96704993909177",2,"STK"
1.6094379124341,3.23740986064406,"3.63051689911597",2,"STK"
3.78418963391826,3.69539095392848,"3.63051689911597",2,"STK"
2.77258872223978,2.97017271483832,"2.96704993909177",2,"STK"
3.17805383034795,3.3081955230866,"3.63051689911597",2,"STK"
4.11087386417331,3.51848273564272,"3.63051689911597",2,"STK"
3.17805383034795,2.92652718620324,"2.96704993909177",2,"STK"
2.07944154167984,2.88415680904397,"2.96704993909177",2,"STK"
1.79175946922805,3.25124417826276,"3.63051689911597",2,"STK"
3.68887945411394,3.37286342059222,"3.63051689911597",2,"STK"
2.83321334405622,2.84607667620733,"3.63051689911597",2,"STK"
4.29045944114839,4.15174884904324,"3.63051689911597",2,"STK"
2.484906649788,2.8974989610141,"2.96704993909177",2,"STK"
4.77068462446567,4.16602497806035,"3.63051689911597",2,"STK"
4.75359019110636,4.16445418503675,"3.63051689911597",2,"STK"
3.98898404656427,4.16076164049202,"3.63051689911597",2,"STK"
4.11087386417331,3.27167918686183,"3.63051689911597",2,"STK"
3.25809653802148,3.01197383019965,"2.96704993909177",2,"STK"
3.52636052461616,3.59929547070188,"3.63051689911597",2,"STK"
3.58351893845611,3.75366545584292,"3.63051689911597",2,"STK"
4.79579054559674,4.15077203062365,"3.63051689911597",2,"STK"
4.26267987704132,4.09277361441863,"3.63051689911597",2,"STK"
3.98898404656427,4.08065634786882,"3.63051689911597",2,"STK"
4.35670882668959,4.06651357229625,"3.63051689911597",2,"STK"
2.83321334405622,3.12540030467508,"3.63051689911597",2,"STK"
2.99573227355399,2.94308586477459,"2.96704993909177",2,"STK"
3.66356164612965,3.00953146172072,"3.63051689911597",2,"STK"
3.46573590279973,3.47887329560887,"3.63051689911597",2,"STK"
2.30258509299405,2.92897786925031,"2.96704993909177",2,"STK"
4.34963256686288,4.13029127314492,"3.63051689911597",2,"STK"
4.70048036579242,3.94018171646585,"3.63051689911597",2,"STK"
4.60517018598809,4.13292681283171,"3.63051689911597",2,"STK"
2.07944154167984,2.87851211855758,"2.96704993909177",2,"STK"
2.07944154167984,2.8412418598349,"2.96704993909177",2,"STK"
