,NewID,DLAT,DLONG,Pb_ppm,Lithology,Lithcode,Dlith,Dfault,Elevation,Slope,Aspect,Water,NDVI,MainRd,Road,Mine,SOC,pH,y
0,1,-28.51561621,120.5213099,12,regolith,RE,3.8798,12.8989,443.3770881,0.268354343,341.1116138,0.308255414,0.1701,57.57853931,2.811538617,34.76102034,0.910311612,5.897840622,2.48490665
1,2,-28.51063622,120.4861,30,regolith,RE,0.1921,9.2348,442.7592651,0.268844682,12.68142113,0.517779477,0.19755,57.93084194,1.329837452,38.01393954,0.924044529,5.861375644,3.401197382
2,3,-28.49413622,120.49488,14,regolith,RE,1.7919,9.2495,433.5699456,0.219443085,205.296197,1.378820986,0.19785,55.82901428,2.509101038,36.08743774,0.950374233,5.927626144,2.63905733
3,4,-28.49213623,120.45822,7,regolith,RE,1.9608,5.521,432.9074691,0.20134932,29.57469319,1.218570284,0.20599,56.40123836,4.915211717,39.53522766,0.949177706,5.912493417,1.945910149
4,5,-28.4834662,120.51093,12,regolith,RE,3.9191,10.6277,430.3013102,0.237973491,324.4909171,0.079229876,0.18218,54.64938516,3.919215974,33.86223257,0.928923497,5.866374242,2.48490665
5,6,-28.48305618,120.6135799,19,regolith,RE,14.5688,17.7558,419.0227152,0.199973619,217.4583467,0.073184054,0.20001,52.38983905,14.204545,24.58571947,0.945485893,5.948327625,2.944438979
6,7,-28.48231619,120.5646999,18,regolith,RE,9.3575,16.5003,423.726884,0.270645097,54.24160783,0.159888857,0.18167,54.52028164,8.518490264,28.97506166,0.923242151,5.828477557,2.890371758
7,8,-28.46949619,120.5350799,4,meta-igneous mafic/ultramafic volcanic,MIMU,6.998,13.1014,431.0962777,0.468039539,27.356108,0.164251457,0.17497,52.50458389,7.277054008,30.25770687,0.90117616,5.765260244,1.386294361
8,9,-28.46934619,120.5374599,3,high grade metamorphic rock,HGMR,7.2244,13.3645,431.0962777,0.468039539,27.356108,0.164251457,0.17497,52.50458389,7.277054008,30.25770687,0.90117616,5.765260244,1.098612289
9,10,-28.46802619,120.5397699,7,high grade metamorphic rock,HGMR,7.5189,13.6151,431.0962777,0.468039539,27.356108,0.164251457,0.17497,52.50458389,7.277054008,30.25770687,0.90117616,5.765260244,1.945910149
10,11,-28.46802619,120.5397799,5.07,high grade metamorphic rock,HGMR,7.5198,13.6162,431.0962777,0.468039539,27.356108,0.164251457,0.17497,52.50458389,7.277054008,30.25770687,0.90117616,5.765260244,1.623340818
11,12,-28.46798619,120.5397399,3,high grade metamorphic rock,HGMR,7.5186,13.6117,431.0962777,0.468039539,27.356108,0.164251457,0.17497,52.50458389,7.277054008,30.25770687,0.90117616,5.765260244,1.098612289
12,13,-28.46782619,120.5397799,5.3,high grade metamorphic rock,HGMR,7.5322,13.6155,431.0962777,0.468039539,27.356108,0.164251457,0.17497,52.50458389,7.277054008,30.25770687,0.90117616,5.765260244,1.667706821
13,14,-28.46781619,120.5397599,5,high grade metamorphic rock,HGMR,7.531,13.6133,431.0962777,0.468039539,27.356108,0.164251457,0.17497,52.50458389,7.277054008,30.25770687,0.90117616,5.765260244,1.609437912
14,15,-28.46779619,120.5332899,10,meta-igneous mafic/ultramafic volcanic,MIMU,6.9479,12.8954,431.0962777,0.468039539,27.356108,0.164251457,0.17497,52.50458389,7.277054008,30.25770687,0.90117616,5.765260244,2.302585093
15,16,-28.46768619,120.5367799,28,high grade metamorphic rock,HGMR,7.2684,13.2822,431.0962777,0.468039539,27.356108,0.164251457,0.17497,52.50458389,7.277054008,30.25770687,0.90117616,5.765260244,3.33220451
16,17,-28.46757619,120.5332299,27.6,meta-igneous mafic/ultramafic volcanic,MIMU,6.9572,12.888,431.0962777,0.468039539,27.356108,0.164251457,0.17497,52.50458389,7.277054008,30.25770687,0.90117616,5.765260244,3.317815773
17,18,-28.46733619,120.5394499,20.27,high grade metamorphic rock,HGMR,7.5328,13.5774,431.0962777,0.468039539,27.356108,0.164251457,0.17497,52.50458389,7.277054008,30.25770687,0.90117616,5.765260244,3.00914196
18,19,-28.46692619,120.5340399,4,meta-igneous mafic/ultramafic volcanic,MIMU,7.0724,12.9759,431.0962777,0.468039539,27.356108,0.164251457,0.17497,52.50458389,7.277054008,30.25770687,0.90117616,5.765260244,1.386294361
19,20,-28.46632618,120.5397899,5.3,high grade metamorphic rock,HGMR,7.628,13.6125,431.0962777,0.468039539,27.356108,0.164251457,0.17497,52.50458389,7.277054008,30.25770687,0.90117616,5.765260244,1.667706821
20,21,-28.46445618,120.5529899,15,high grade metamorphic rock,HGMR,8.9699,15.0754,420.6036927,0.332183677,46.67520905,0.239469549,0.17985,52.49704941,8.719154538,28.58606817,0.898049692,5.736137644,2.708050201
21,22,-28.46428619,120.5329599,2.7,high grade metamorphic rock,HGMR,7.1584,12.8521,431.0962777,0.468039539,27.356108,0.164251457,0.17497,52.50458389,7.277054008,30.25770687,0.90117616,5.765260244,0.993251773
22,23,-28.4612362,120.50052,13,regolith,RE,5.178,9.2564,420.1920008,0.211910956,336.56809,0.006553051,0.19378,51.74710208,6.543375143,33.24113497,0.947399797,5.913864859,2.564949357
23,24,-28.46109625,120.3551901,20,regolith,RE,4.3944,4.8548,438.4187331,0.176289725,49.53025949,1.690146768,0.2042,53.9110086,16.56111804,41.55267612,0.929560506,5.987628417,2.995732274
24,25,-28.45714621,120.31014,30,regolith,RE,6.7009,5.321,449.8378098,0.1573171,57.42299573,0.538975021,0.19238,53.79965186,21.25088888,43.67944852,0.884261511,5.997394511,3.401197382
25,26,-28.45540618,120.53735,7.5,high grade metamorphic rock,HGMR,8.1719,13.3737,423.1214696,0.44493816,26.25602137,0.763909342,0.19233,51.50484266,8.059282845,29.73620671,0.927776889,5.714869714,2.014903021
26,27,-28.4551263,120.0522901,22,regolith,RE,4.2977,10.6801,455.3352053,0.235974667,305.5014065,0.36683539,0.18353,55.9111201,49.65996608,55.84432001,0.909157596,5.948719066,3.091042453
27,28,-28.44998623,120.39436,16,regolith,RE,0.7706,0.9918,430.4020046,0.152106191,15.80835647,1.543885046,0.20537,53.173356,13.50568168,39.2632769,0.951312423,5.918508227,2.772588722
28,29,-28.44649628,120.1712501,28,regolith,RE,1.1794,0.478,485.1711366,0.398420438,36.05685652,0.117323999,0.19662,54.12443381,36.0220175,51.72714662,0.878533127,5.655440314,3.33220451
29,30,-28.44598617,120.6128499,11,regolith,RE,15.809,15.5509,407.5240856,0.163969635,17.52053067,1.793963997,0.19482,49.390789,15.67658121,21.8016114,0.952479375,5.796495314,2.397895273
30,31,-28.44083625,120.28959,30,regolith,RE,4.7288,3.4279,449.864522,0.233472562,46.84475152,0.240242466,0.18146,51.84852708,23.80178958,42.94639594,0.866771566,5.926130717,3.401197382
31,32,-28.44001625,120.20592,40,regolith,RE,0.5016,0.5757,479.8427977,0.374028251,47.1124084,0.300385633,0.17038,52.65662393,33.33443387,48.95846795,0.826567731,5.708483782,3.688879454
32,33,-28.43878621,120.45018,24,regolith,RE,4.1729,4.613,417.8865758,0.170416181,27.52453466,0.542023045,0.19401,50.71307695,9.98019967,36.93341578,0.964327353,5.83777567,3.17805383
33,34,-28.43638616,120.2585698,30,high grade metamorphic rock,HGMR,1.618,2.126,461.1806971,0.251195196,15.6535278,0.090108749,0.15638,51.95618152,27.57515013,45.18194759,0.856872671,5.716194351,3.401197382
34,35,-28.43554616,120.6567699,11,regolith,RE,16.1412,10.7558,399.3159821,0.06327257,63.92315021,0.427983567,0.18796,45.22924709,16.66620603,17.49301357,0.888457006,5.777352118,2.397895273
35,36,-28.43469631,120.1074201,24,regolith,RE,1.2587,5.565,466.5889678,0.221685453,275.8932752,1.337052189,0.18964,53.59021542,44.26405122,53.48227907,0.904655026,5.956264337,3.17805383
36,37,-28.43416619,120.7677297,15,regolith,RE,8.2897,6.7328,404.1103966,0.254116117,203.5536467,1.996559103,0.21381,37.77361636,8.540084664,12.1502907,1.031355412,5.575367348,2.708050201
37,38,-28.43311617,120.7429197,14,regolith,RE,9.4334,5.7427,401.7216076,0.145280194,194.9217708,2.264843594,0.23291,39.35818499,10.67323151,12.41683786,0.985235165,5.785322786,2.63905733
38,39,-28.43100631,120.0786201,19,regolith,RE,2.4628,8.5375,457.8200842,0.196477163,287.9988772,0.142775538,0.18204,53.16943169,47.19855949,53.08128589,0.9032547,6.097607245,2.944438979
39,40,-28.42846616,120.5529899,8.4,regolith,RE,11.5128,15.584,405.1930143,0.223823446,14.71605293,1.221779533,0.19845,48.49753145,11.66232205,26.53329891,0.957898671,5.735666549,2.128231706
40,41,-28.42503631,120.1262801,17,igneous felsic intrusive,IFI,0,4.9572,482.2695117,0.38557376,231.649109,0.254409429,0.1668,52.12165309,41.58010302,52.52908003,0.851771903,5.844688788,2.833213344
41,42,-28.42351616,120.52832,18,regolith,RE,10.3181,13.1315,406.1970116,0.174873657,36.35458231,0.941574918,0.20523,47.54114047,11.15365722,28.83188189,0.955267814,5.748956091,2.890371758
42,43,-28.42103616,120.2926098,30,regolith,RE,5.7393,4.1645,443.8405224,0.277226596,45.26341234,0.056388661,0.18709,49.85030558,24.58695257,41.25995507,0.911080508,5.791056216,3.401197382
43,44,-28.41973615,120.6121999,7.6,regolith,RE,14.1971,14.5164,401.325085,0.10352378,23.29587717,0.600920036,0.18793,47.95173027,16.52908657,20.82384496,0.940830855,5.773639125,2.028148247
44,45,-28.41643621,120.44339,15,regolith,RE,4.4902,5.5775,410.6440741,0.144693244,43.21966293,0.607971619,0.18961,47.7878215,12.63305031,33.97151239,0.933840797,5.830165414,2.708050201
45,46,-28.41445632,120.0554301,22,regolith,RE,2.3583,11.664,450.5335678,0.207311728,292.9932732,2.295232368,0.20229,50.98739956,48.59921698,50.91173198,0.906108802,6.052237225,3.091042453
46,47,-28.4118062,120.38929,40,regolith,RE,3.3743,1.7663,422.3645442,0.162448053,50.26507435,2.456350918,0.20967,49.23366469,16.0744996,35.46247102,0.891839012,5.968959788,3.688879454
47,48,-28.41125627,120.1951701,32,regolith,RE,0.7493,2.8191,463.8031125,0.249239306,23.10626744,0.03483709,0.17272,49.89353308,35.16589236,47.46758792,0.866716383,5.9675302,3.465735903
48,49,-28.41087615,120.7002798,10,regolith,RE,10.8376,5.2349,399.4238124,0.09221777,195.7580932,0.180977514,0.21362,40.5124645,12.52504707,12.66957071,0.952794116,5.838192392,2.302585093
49,50,-28.41080619,120.4891,14,regolith,RE,9.1986,9.9325,405.7817057,0.161637848,176.812444,2.231942254,0.19434,46.89219453,11.50062227,32.2292048,0.965131209,5.803598999,2.63905733
50,51,-28.40751632,120.0982901,14,igneous felsic intrusive,IFI,0,8.3594,466.7967167,0.314353033,236.116096,0.220134402,0.17228,50.46730963,44.6435704,50.36282353,0.872190991,5.869736198,2.63905733
51,52,-28.40679617,120.3639,24,regolith,RE,1.4208,0.1336,426.3489302,0.183446545,111.5821063,0.335952668,0.19232,47.98603368,18.94159051,35.64188454,0.923853614,5.925291664,3.17805383
52,53,-28.4056662,120.2404502,30,high grade metamorphic rock,HGMR,1.2317,0.7046,449.7803915,0.285345025,52.59176751,0.297460571,0.17749,48.13743059,30.87566782,43.31163882,0.849805755,5.815616344,3.401197382
53,54,-28.39937629,120.1658001,22,regolith,RE,0.0382,5.3937,466.6570564,0.3841574,52.28766907,0.487424531,0.1826,49.34190016,38.02310569,48.90533007,0.868578422,5.740334851,3.091042453
54,55,-28.39639617,120.32527,8.5,high grade metamorphic rock,HGMR,3.5426,3.0882,433.1696502,0.233791332,307.3567582,0.210610379,0.17316,46.82086512,22.68576853,36.59719773,0.912755696,5.924014479,2.140066163
