NewID,DLAT,DLONG,Zn_ppm,Lithology,Lithcode,Dlith,Dfault,Elevation,Slope,Aspect,Water,NDVI,MainRd,Road,Mine,SOC,pH
1,-28.51562,120.52131,8,regolith,RE,2.2652,5.0526,443.3770881,0.268354343,341.1116138,0.308255414,0.1701,57.57853931,2.811538617,34.76102034,0.910311612,5.897840622
2,-28.51064,120.48610,38,regolith,RE,4.4579,1.2878,442.7592651,0.268844682,12.68142113,0.517779477,0.19755,57.93084194,1.329837452,38.01393954,0.924044529,5.861375644
3,-28.49414,120.49488,16,regolith,RE,3.0220,3.2182,433.5699456,0.219443085,205.296197,1.378820986,0.19785,55.82901428,2.509101038,36.08743774,0.950374233,5.927626144
4,-28.49214,120.45822,215,regolith,RE,7.0207,0.8191,432.9074691,0.20134932,29.57469319,1.218570284,0.20599,56.40123836,4.915211717,39.53522766,0.949177706,5.912493417
6,-28.48306,120.61358,14,regolith,RE,7.9092,15.7245,419.0227152,0.199973619,217.4583467,0.073184054,0.20001,52.38983905,14.204545,24.58571947,0.945485893,5.948327625
7,-28.48232,120.56470,9,regolith,RE,2.4831,10.5517,423.726884,0.270645097,54.24160783,0.159888857,0.18167,54.52028164,8.518490264,28.97506166,0.923242151,5.828477557
8,-28.46950,120.53508,120,meta-igneous mafic/ultramafic volcanic,MIMU,0.0000,8.3611,431.0962777,0.468039539,27.356108,0.164251457,0.17497,52.50458389,7.277054008,30.25770687,0.90117616,5.765260244
9,-28.46935,120.53746,30,high grade metamorphic rock,HGMR,0.1210,8.5806,431.0962777,0.468039539,27.356108,0.164251457,0.17497,52.50458389,7.277054008,30.25770687,0.90117616,5.765260244
10,-28.46803,120.53977,35,high grade metamorphic rock,HGMR,0.4162,8.8736,431.0962777,0.468039539,27.356108,0.164251457,0.17497,52.50458389,7.277054008,30.25770687,0.90117616,5.765260244
11,-28.46803,120.53978,15,high grade metamorphic rock,HGMR,0.4171,8.8745,431.0962777,0.468039539,27.356108,0.164251457,0.17497,52.50458389,7.277054008,30.25770687,0.90117616,5.765260244
12,-28.46799,120.53974,20,high grade metamorphic rock,HGMR,0.4157,8.8736,431.0962777,0.468039539,27.356108,0.164251457,0.17497,52.50458389,7.277054008,30.25770687,0.90117616,5.765260244
13,-28.46783,120.53978,9,high grade metamorphic rock,HGMR,0.4288,8.8878,431.0962777,0.468039539,27.356108,0.164251457,0.17497,52.50458389,7.277054008,30.25770687,0.90117616,5.765260244
14,-28.46782,120.53976,15,high grade metamorphic rock,HGMR,0.4275,8.8867,431.0962777,0.468039539,27.356108,0.164251457,0.17497,52.50458389,7.277054008,30.25770687,0.90117616,5.765260244
15,-28.46780,120.53329,90,meta-igneous mafic/ultramafic volcanic,MIMU,0.0000,8.3255,431.0962777,0.468039539,27.356108,0.164251457,0.17497,52.50458389,7.277054008,30.25770687,0.90117616,5.765260244
16,-28.46769,120.53678,120,high grade metamorphic rock,HGMR,0.1535,8.6337,431.0962777,0.468039539,27.356108,0.164251457,0.17497,52.50458389,7.277054008,30.25770687,0.90117616,5.765260244
17,-28.46758,120.53323,31,meta-igneous mafic/ultramafic volcanic,MIMU,0.0000,8.3361,431.0962777,0.468039539,27.356108,0.164251457,0.17497,52.50458389,7.277054008,30.25770687,0.90117616,5.765260244
18,-28.46734,120.53945,5.33,high grade metamorphic rock,HGMR,0.4261,8.8915,431.0962777,0.468039539,27.356108,0.164251457,0.17497,52.50458389,7.277054008,30.25770687,0.90117616,5.765260244
