"model","fold","o","p","DLONG","DLAT","autofit_model","autofit_psill","autofit_range","autofit_kappa"
"lm",1,3.63758615972639,3.60017914248336,120.4861,-28.51064,NA,NA,NA,NA
"lm",1,5.37063802812766,3.27826862206769,120.45822,-28.49214,NA,NA,NA,NA
"lm",1,3.40119738166216,3.87886260736186,120.53746,-28.46935,NA,NA,NA,NA
"lm",1,2.99573227355399,3.10547634579896,120.35519,-28.4611,NA,NA,NA,NA
"lm",1,3.52636052461616,3.46579493258517,120.17125,-28.4465,NA,NA,NA,NA
"lm",1,2.19722457733622,3.21005439860957,120.65677,-28.43555,NA,NA,NA,NA
"lm",1,3.40119738166216,2.67104199325291,120.05543,-28.41446,NA,NA,NA,NA
"lm",1,3.25809653802148,3.2660630527431,120.38929,-28.41181,NA,NA,NA,NA
"lm",1,3.40119738166216,3.36509884430608,120.3639,-28.4068,NA,NA,NA,NA
"lm",1,3.46573590279973,3.49572452913544,120.1658,-28.39938,NA,NA,NA,NA
"lm",1,3.61091791264422,3.27310497939451,120.56237,-28.38919,NA,NA,NA,NA
"lm",1,3.52636052461616,3.42233519925595,120.37496,-28.3849,NA,NA,NA,NA
"lm",1,2.89037175789616,3.13805649849834,120.45307,-28.38284,NA,NA,NA,NA
"lm",1,2.77258872223978,3.26745108992281,120.49417,-28.37591,NA,NA,NA,NA
"lm",1,2.89037175789616,3.44769375200976,120.1305,-28.3607,NA,NA,NA,NA
"lm",1,3.8286413964891,3.06557740467687,120.54726,-28.33155,NA,NA,NA,NA
"lm",1,2.89037175789616,2.98630181037526,120.27564,-28.32945,NA,NA,NA,NA
"lm",1,2.63905732961526,3.21467617911573,120.73231,-28.32749,NA,NA,NA,NA
"lm",1,4.28358656186063,3.60514721066405,121.06529,-28.32348,NA,NA,NA,NA
"lm",1,3.17805383034795,3.34352505166041,120.40505,-28.3195,NA,NA,NA,NA
"lm",1,2.70805020110221,3.0734797083807,120.79678,-28.30737,NA,NA,NA,NA
"lm",1,4.31748811353631,3.66017267903662,121.00608,-28.30672,NA,NA,NA,NA
"lm",1,2.77258872223978,3.36450794683468,121.14028,-28.29698,NA,NA,NA,NA
"lm",1,3.17805383034795,3.62548603334838,121.01559,-28.29534,NA,NA,NA,NA
"lm",1,3.09104245335832,3.03185577968144,120.48783,-28.2941,NA,NA,NA,NA
"lm",1,1.94591014905531,3.26852607410591,120.80632,-28.28944,NA,NA,NA,NA
"lm",1,2.63905732961526,3.42414441820551,120.9321,-28.28414,NA,NA,NA,NA
"lm",1,2.99573227355399,3.63704161286514,120.45584,-28.28031,NA,NA,NA,NA
"lm",1,3.78418963391826,3.12502156664282,120.61511,-28.27848,NA,NA,NA,NA
"lm",1,2.39789527279837,3.64686679271869,121.0493,-28.27662,NA,NA,NA,NA
"lm",1,2.63905732961526,3.14946047786007,120.4197,-28.27564,NA,NA,NA,NA
"lm",1,4.56434819146784,3.63554248469717,120.46984,-28.27402,NA,NA,NA,NA
"lm",1,4.23410650459726,2.76194774420599,120.22522,-28.27335,NA,NA,NA,NA
"lm",1,4.64439089914137,3.6341227264285,120.47653,-28.27326,NA,NA,NA,NA
"lm",1,4.96284463025991,3.63412169910703,120.47668,-28.27313,NA,NA,NA,NA
"lm",1,3.17805383034795,3.071686085824,120.58841,-28.26701,NA,NA,NA,NA
"lm",1,3.36729582998647,3.1385846794862,120.81579,-28.24712,NA,NA,NA,NA
"lm",1,3.09104245335832,2.67854429224339,120.2483,-28.24124,NA,NA,NA,NA
"lm",1,4.06044301054642,3.56399201804967,120.91474,-28.23615,NA,NA,NA,NA
"lm",1,3.87120101090789,3.51791681130996,121.11648,-28.23055,NA,NA,NA,NA
"lm",1,3.68887945411394,3.370736200885,120.5894,-28.2296,NA,NA,NA,NA
"lm",1,3.29583686600433,3.73157445472977,121.02579,-28.22527,NA,NA,NA,NA
"lm",1,4.43081679884331,3.63054789969757,120.90232,-28.22247,NA,NA,NA,NA
"lm",1,4.96284463025991,3.60607751355193,120.90624,-28.21708,NA,NA,NA,NA
"lm",1,3.40119738166216,3.38858706014296,121.13525,-28.20755,NA,NA,NA,NA
"lm",1,3.63758615972639,3.60863994359855,121.10133,-28.20295,NA,NA,NA,NA
"lm",1,3.3322045101752,2.57797361769154,120.25872,-28.20155,NA,NA,NA,NA
"lm",1,1.6094379124341,3.71764322737955,120.72367,-28.1845,NA,NA,NA,NA
"lm",1,3.78418963391826,3.57771240688716,120.56498,-28.18076,NA,NA,NA,NA
"lm",1,2.77258872223978,2.96167716250985,120.38606,-28.17831,NA,NA,NA,NA
"lm",1,3.17805383034795,3.95885266360828,120.71763,-28.17481,NA,NA,NA,NA
"lm",1,4.11087386417331,3.9939339366301,121.00083,-28.17385,NA,NA,NA,NA
"lm",1,3.17805383034795,2.3739208756889,120.20667,-28.16088,NA,NA,NA,NA
"lm",1,2.07944154167984,2.5727240224472,120.2418,-28.1472,NA,NA,NA,NA
"lm",1,1.79175946922805,4.00273229425444,120.72917,-28.13653,NA,NA,NA,NA
"lm",1,3.68887945411394,3.71786078512676,120.98367,-28.12928,NA,NA,NA,NA
"lm",1,2.83321334405622,3.35028266989802,121.20709,-28.12493,NA,NA,NA,NA
"lm",1,4.29045944114839,4.04673690841958,120.56709,-28.11187,NA,NA,NA,NA
"lm",1,2.484906649788,2.69000083141194,120.19767,-28.11062,NA,NA,NA,NA
"lm",1,4.77068462446567,3.97447827313169,120.57419,-28.10904,NA,NA,NA,NA
"lm",1,4.75359019110636,3.97472654248644,120.57569,-28.1084,NA,NA,NA,NA
"lm",1,3.98898404656427,3.95999935580278,120.57751,-28.10765,NA,NA,NA,NA
"lm",1,4.11087386417331,3.604495718935,121.0701,-28.10299,NA,NA,NA,NA
"lm",1,3.25809653802148,3.27451960348358,120.42884,-28.10242,NA,NA,NA,NA
"lm",1,3.52636052461616,3.59326854180091,120.68897,-28.09908,NA,NA,NA,NA
"lm",1,3.58351893845611,3.90475668009518,120.66801,-28.09254,NA,NA,NA,NA
"lm",1,4.79579054559674,3.72973604257901,120.49634,-28.08349,NA,NA,NA,NA
"lm",1,4.26267987704132,3.83284388143644,120.47812,-28.0803,NA,NA,NA,NA
"lm",1,3.98898404656427,3.75372435077342,120.47647,-28.08027,NA,NA,NA,NA
"lm",1,4.35670882668959,3.75429622639057,120.47483,-28.08024,NA,NA,NA,NA
"lm",1,2.83321334405622,3.80241078302984,121.11742,-28.07991,NA,NA,NA,NA
"lm",1,2.99573227355399,2.77022886517811,120.35138,-28.07935,NA,NA,NA,NA
"lm",1,3.66356164612965,3.33380709495877,121.15795,-28.06763,NA,NA,NA,NA
"lm",1,3.46573590279973,3.74107400548135,120.70928,-28.06725,NA,NA,NA,NA
"lm",1,2.30258509299405,2.77292232964732,120.33782,-28.06658,NA,NA,NA,NA
"lm",1,4.34963256686288,3.78519530576182,120.51741,-28.0635,NA,NA,NA,NA
"lm",1,4.70048036579242,3.71141705265314,120.60454,-28.05237,NA,NA,NA,NA
"lm",1,4.60517018598809,4.06463302222869,120.53053,-28.04432,NA,NA,NA,NA
"lm",1,2.07944154167984,2.40266756599504,120.17346,-28.04328,NA,NA,NA,NA
"lm",1,2.07944154167984,2.55920337463973,120.24427,-28.03071,NA,NA,NA,NA
"lm",1,3.44998754583159,4.34291557559974,120.53181,-28.02646,NA,NA,NA,NA
"lm",1,3.25809653802148,3.49856967242221,120.46173,-28.02005,NA,NA,NA,NA
"lm",1,4.18965474202643,3.86430090601309,120.55408,-28.01514,NA,NA,NA,NA
"lm",1,3.36729582998647,3.39128192641714,120.45248,-28.00805,NA,NA,NA,NA
"lm",1,2.89037175789616,3.50581176966624,120.45625,-28.00033,NA,NA,NA,NA
"lm",1,2.77258872223978,3.46182701982931,120.83041,-27.99881,NA,NA,NA,NA
"lm",1,3.3322045101752,3.50910536802769,120.45887,-27.99568,NA,NA,NA,NA
"lm",1,3.91202300542815,3.51077403481755,120.45934,-27.99565,NA,NA,NA,NA
"lm",1,2.77258872223978,3.50313046436076,120.45776,-27.99369,NA,NA,NA,NA
"lm",1,3.2188758248682,3.47327833881024,120.38276,-27.99335,NA,NA,NA,NA
"lm",1,3.40119738166216,3.61969725024322,121.04293,-27.99277,NA,NA,NA,NA
"lm",1,3.97029191355212,3.54717039840815,120.45933,-27.99006,NA,NA,NA,NA
"lm",1,2.07944154167984,3.71340965786913,120.28591,-27.9888,NA,NA,NA,NA
"lm",1,1.09861228866811,3.46953634238331,120.38277,-27.98876,NA,NA,NA,NA
"lm",1,3.40119738166216,3.53905919754049,120.45789,-27.98774,NA,NA,NA,NA
"lm",1,3.04452243772342,3.09090233138482,120.8964,-27.98522,NA,NA,NA,NA
