"","model","R2","MAE","RMSE"
"IDW_FFRK_lm","FFRK_lm",0.392233865230671,0.661281618472532,0.889855127062009
"IDW_FFRK_rf","FFRK_rf",0.255421336213188,0.750363772039733,0.98493223662876
"IDW_FFRK_rpart","FFRK_rpart",0.37471448694778,0.677857471754778,0.902589427051652
"IDW_FFRK_svmRadial","FFRK_svmRadial",0.370612133471182,0.659815525442127,0.905545426696281
"IDW_Quantiles_FFRK_lm","FFRK_lm",0.409239542050142,0.662212954923089,0.877317450133644
"IDW_Quantiles_FFRK_rf","FFRK_rf",0.495131113788666,0.603725002720058,0.811036429579247
"IDW_Quantiles_FFRK_rpart","FFRK_rpart",0.341189868317943,0.694495815541237,0.92646964201482
"IDW_Quantiles_FFRK_svmRadial","FFRK_svmRadial",0.434224402590516,0.630981004207255,0.858564968794823
"IDW_Similarity_FFRK_lm","FFRK_lm",0.407807423674284,0.652745996307909,0.880329273665303
"IDW_Similarity_FFRK_rf","FFRK_rf",0.368201803556369,0.675968764545251,0.909290921888208
"IDW_Similarity_FFRK_rpart","FFRK_rpart",0.381164933771138,0.675467102240526,0.899914235408359
"IDW_Similarity_FFRK_svmRadial","FFRK_svmRadial",0.415794602681832,0.633338674197192,0.874372412845862
"Quantiles_Similarity_FFRK_lm","FFRK_lm",0.403330856526875,0.658730967928967,0.883650350074458
"Quantiles_Similarity_FFRK_rf","FFRK_rf",0.474130090023848,0.611321319182122,0.829569592921545
"Quantiles_Similarity_FFRK_rpart","FFRK_rpart",0.329464031391975,0.699373175963576,0.936752161445492
"Quantiles_Similarity_FFRK_svmRadial","FFRK_svmRadial",0.383408988863475,0.664911176763811,0.898281093293751
