"","model","R2","MAE","RMSE"
"IDW_FFRK_lm","FFRK_lm",0.495175232659865,0.416612912958297,0.52826034717573
"IDW_FFRK_rf","FFRK_rf",0.252887429592268,0.4810365491239,0.642644370264555
"IDW_FFRK_rpart","FFRK_rpart",0.426712223224801,0.440064477787982,0.562942485958432
"IDW_FFRK_svmRadial","FFRK_svmRadial",0.493338467262861,0.409343389348872,0.529220491575954
"IDW_Quantiles_FFRK_lm","FFRK_lm",0.465203131584971,0.428336716088394,0.54371600010385
"IDW_Quantiles_FFRK_rf","FFRK_rf",0.575871994652457,0.364636844816689,0.484201533531838
"IDW_Quantiles_FFRK_rpart","FFRK_rpart",0.41258598249633,0.441604304125113,0.56983594189802
"IDW_Quantiles_FFRK_svmRadial","FFRK_svmRadial",0.527071461228426,0.403348330157612,0.511299592570685
"IDW_Similarity_FFRK_lm","FFRK_lm",0.571369729317821,0.383051370206549,0.486764732475638
"IDW_Similarity_FFRK_rf","FFRK_rf",0.540554322838259,0.393459024021394,0.50395849510423
"IDW_Similarity_FFRK_rpart","FFRK_rpart",0.428081808906176,0.439127974282588,0.562269648485474
"IDW_Similarity_FFRK_svmRadial","FFRK_svmRadial",0.602804515774504,0.354801517533963,0.468575779899607
"Quantiles_Similarity_FFRK_lm","FFRK_lm",0.445782723864533,0.42995572389731,0.553500114842015
"Quantiles_Similarity_FFRK_rf","FFRK_rf",0.532433747103362,0.382944485917661,0.50839265156271
"Quantiles_Similarity_FFRK_rpart","FFRK_rpart",0.394315443168469,0.455038493796149,0.578629985678814
"Quantiles_Similarity_FFRK_svmRadial","FFRK_svmRadial",0.479937280433598,0.397800898473343,0.536173748683106
