"","model","R2","MAE","RMSE"
"IDW_FFRK_lm","FFRK_lm",0.410776010769237,0.472245109611042,0.617339271714389
"IDW_FFRK_rf","FFRK_rf",0.283522520815087,0.525944010114266,0.680745794708183
"IDW_FFRK_rpart","FFRK_rpart",0.450231030928186,0.468676275023238,0.596312353855908
"IDW_FFRK_svmRadial","FFRK_svmRadial",0.460194408894307,0.466009342566242,0.590884209791828
"IDW_Quantiles_FFRK_lm","FFRK_lm",0.472949826212502,0.450970430407941,0.583861280824733
"IDW_Quantiles_FFRK_rf","FFRK_rf",0.465760420108482,0.445243609146728,0.587829971210212
"IDW_Quantiles_FFRK_rpart","FFRK_rpart",0.43826790385504,0.475602254645516,0.602765399851488
"IDW_Quantiles_FFRK_svmRadial","FFRK_svmRadial",0.443043117232994,0.46656468182981,0.600197915594239
"IDW_Similarity_FFRK_lm","FFRK_lm",0.429386434492622,0.455824213581878,0.607511832786793
"IDW_Similarity_FFRK_rf","FFRK_rf",0.420255351387126,0.476040440607529,0.61235330969021
"IDW_Similarity_FFRK_rpart","FFRK_rpart",0.430704880742399,0.478632777067629,0.606809575639438
"IDW_Similarity_FFRK_svmRadial","FFRK_svmRadial",0.468573853582992,0.450065946811624,0.58628010137046
"Quantiles_Similarity_FFRK_lm","FFRK_lm",0.451624554947173,0.448814676529938,0.5955561245297
"Quantiles_Similarity_FFRK_rf","FFRK_rf",0.435380008952528,0.457075639841358,0.604312838196543
"Quantiles_Similarity_FFRK_rpart","FFRK_rpart",0.389426004490938,0.493102932904476,0.628424122014134
"Quantiles_Similarity_FFRK_svmRadial","FFRK_svmRadial",0.420942886320645,0.459276152258329,0.611990098757415
