"model","R2","MAE","RMSE","Element"
"FFRK_lm",0.414581141157595,0.674331346680605,0.875890937600742,"Cu"
"FFR_lm",0.414581141157596,0.674331346680605,0.875890937600742,"Cu"
"FFRK_rpart",0.395474817162535,0.67425930580569,0.890069413405873,"Cu"
"FFR_rpart",0.394493586318306,0.675364171165895,0.890791475509781,"Cu"
"FFRK_rf",0.481421246722251,0.619253458325599,0.824373529460379,"Cu"
"FFR_rf",0.490827106428384,0.615148765830603,0.816863171554809,"Cu"
"FFRK_svmRadial",0.469374980940916,0.629418868433237,0.833893406882745,"Cu"
"FFR_svmRadial",0.461139667143607,0.63582935705159,0.840339515682818,"Cu"
"FFRK_lm",0.354261007446475,0.457369596841345,0.623875330126695,"Pb"
"FFR_lm",0.34947418389249,0.464148085283419,0.626183435346539,"Pb"
"FFRK_rpart",0.239128974827566,0.493348999877689,0.677212288009525,"Pb"
"FFR_rpart",0.153587176026076,0.554393442174988,0.714266734363561,"Pb"
"FFRK_rf",0.442821960843752,0.409688944935647,0.579517162366609,"Pb"
"FFR_rf",0.442159071050084,0.412364331960155,0.579861793519416,"Pb"
"FFRK_svmRadial",0.405182669972187,0.412516635859133,0.598771489717311,"Pb"
"FFR_svmRadial",0.375837915854235,0.425861824207015,0.613363598722193,"Pb"
"FFRK_lm",0.441588202874143,0.454466368110832,0.593224393758169,"Zn"
"FFR_lm",0.442426766828904,0.45309841660597,0.59277880549018,"Zn"
"FFRK_rpart",0.41601423609749,0.475777991100552,0.606656477310233,"Zn"
"FFR_rpart",0.411889270054332,0.47354704127712,0.608795257130145,"Zn"
"FFRK_rf",0.446388721924736,0.443501943451188,0.590668992992562,"Zn"
"FFR_rf",0.453071045336482,0.439509149448497,0.587093357484774,"Zn"
"FFRK_svmRadial",0.440348047140462,0.447279016734416,0.593882763283225,"Zn"
"FFR_svmRadial",0.441611633454411,0.443478714524111,0.593211947981009,"Zn"
