"model","fold","o","p","variance","DLONG","DLAT","autofit_model","autofit_psill","autofit_range","autofit_kappa"
"ok",1,3.25809653802148,2.4111656217732,1.36102640085748,120.4861,-28.51064,"Nug;Sph","1.3041;0.4153","0;2.1672","0;0"
"ok",1,2.484906649788,2.42410307819991,1.35454483031684,120.49488,-28.49414,"Nug;Sph","1.3041;0.4153","0;2.1672","0;0"
"ok",1,4.27666611901606,2.44692934832163,1.35881232388098,120.45822,-28.49214,"Nug;Sph","1.3041;0.4153","0;2.1672","0;0"
"ok",1,2.30258509299405,2.42808093265807,1.35062647853472,120.5647,-28.48232,"Nug;Sph","1.3041;0.4153","0;2.1672","0;0"
"ok",1,2.89037175789616,2.45002992381764,1.36107315349545,120.31014,-28.45715,"Nug;Sph","1.3041;0.4153","0;2.1672","0;0"
"ok",1,1.09861228866811,2.4182339433178,1.35836637180183,120.25857,-28.43639,"Nug;Sph","1.3041;0.4153","0;2.1672","0;0"
"ok",1,3.04452243772342,2.45596878235798,1.35402705734459,120.29261,-28.42104,"Nug;Sph","1.3041;0.4153","0;2.1672","0;0"
"ok",1,2.484906649788,2.5894002418573,1.345893690139,120.44339,-28.41644,"Nug;Sph","1.3041;0.4153","0;2.1672","0;0"
"ok",1,2.63905732961526,2.56300611392449,1.34826143469996,120.38929,-28.41181,"Nug;Sph","1.3041;0.4153","0;2.1672","0;0"
"ok",1,2.484906649788,2.39062574156595,1.35683989186259,120.1658,-28.39938,"Nug;Sph","1.3041;0.4153","0;2.1672","0;0"
"ok",1,3.04452243772342,2.39073971972456,1.35715986128339,120.15079,-28.39013,"Nug;Sph","1.3041;0.4153","0;2.1672","0;0"
"ok",1,2.07944154167984,2.53465143126981,1.34666413204054,120.33861,-28.37846,"Nug;Sph","1.3041;0.4153","0;2.1672","0;0"
"ok",1,1.6094379124341,2.67801044477399,1.34561528849116,120.64138,-28.36232,"Nug;Sph","1.3041;0.4153","0;2.1672","0;0"
"ok",1,1.38629436111989,2.69750270182473,1.35188630998842,120.74894,-28.35935,"Nug;Sph","1.3041;0.4153","0;2.1672","0;0"
"ok",1,3.71357206670431,2.82400542243489,1.36077810854001,121.06975,-28.33466,"Nug;Sph","1.3041;0.4153","0;2.1672","0;0"
"ok",1,2.56494935746154,2.35005996447518,1.37105491172128,120.07036,-28.32967,"Nug;Sph","1.3041;0.4153","0;2.1672","0;0"
