"model","fold","o","p","variance","DLONG","DLAT","autofit_model","autofit_psill","autofit_range","autofit_kappa"
"ok",1,3.63758615972639,3.27804380774395,0.740218345812613,120.4861,-28.51064,"Nug;Sph","0.7244;0.1601","0;4.3358","0;0"
"ok",1,5.37063802812766,3.27790733303014,0.739595689979544,120.45822,-28.49214,"Nug;Sph","0.7244;0.1601","0;4.3358","0;0"
"ok",1,3.40119738166216,3.32575209470115,0.736827354261687,120.53746,-28.46935,"Nug;Sph","0.7244;0.1601","0;4.3358","0;0"
"ok",1,2.99573227355399,3.23352953407478,0.739770246928116,120.35519,-28.4611,"Nug;Sph","0.7244;0.1601","0;4.3358","0;0"
"ok",1,3.52636052461616,3.14531337227049,0.743259876817757,120.17125,-28.4465,"Nug;Sph","0.7244;0.1601","0;4.3358","0;0"
"ok",1,2.19722457733622,3.3365327328774,0.738463890752528,120.65677,-28.43555,"Nug;Sph","0.7244;0.1601","0;4.3358","0;0"
"ok",1,3.40119738166216,3.0999810990461,0.747806849641508,120.05543,-28.41446,"Nug;Sph","0.7244;0.1601","0;4.3358","0;0"
"ok",1,3.25809653802148,3.27544160373049,0.737143744457773,120.38929,-28.41181,"Nug;Sph","0.7244;0.1601","0;4.3358","0;0"
"ok",1,3.40119738166216,3.25491653998455,0.737294549499615,120.3639,-28.4068,"Nug;Sph","0.7244;0.1601","0;4.3358","0;0"
"ok",1,3.46573590279973,3.1445305774864,0.741265703414401,120.1658,-28.39938,"Nug;Sph","0.7244;0.1601","0;4.3358","0;0"
"ok",1,3.61091791264422,3.38331075175238,0.735530197060157,120.56237,-28.38919,"Nug;Sph","0.7244;0.1601","0;4.3358","0;0"
"ok",1,3.52636052461616,3.27313467643849,0.736451739531318,120.37496,-28.3849,"Nug;Sph","0.7244;0.1601","0;4.3358","0;0"
"ok",1,2.89037175789616,3.35075526896675,0.735464046101033,120.45307,-28.38284,"Nug;Sph","0.7244;0.1601","0;4.3358","0;0"
"ok",1,2.77258872223978,3.38430556031204,0.735045309163463,120.49417,-28.37591,"Nug;Sph","0.7244;0.1601","0;4.3358","0;0"
"ok",1,2.89037175789616,3.12808009510608,0.741676599856412,120.1305,-28.3607,"Nug;Sph","0.7244;0.1601","0;4.3358","0;0"
"ok",1,3.8286413964891,3.44078178337561,0.734425657064709,120.54726,-28.33155,"Nug;Sph","0.7244;0.1601","0;4.3358","0;0"
"ok",1,2.89037175789616,3.18928207613094,0.736708452517517,120.27564,-28.32945,"Nug;Sph","0.7244;0.1601","0;4.3358","0;0"
"ok",1,2.63905732961526,3.39149022676572,0.736121764381378,120.73231,-28.32749,"Nug;Sph","0.7244;0.1601","0;4.3358","0;0"
"ok",1,4.28358656186063,3.39042549581618,0.741435669647634,121.06529,-28.32348,"Nug;Sph","0.7244;0.1601","0;4.3358","0;0"
