            model         R2       MAE      RMSE Element
1              ok 0.29439943 0.7340437 0.9609330      Cu
2              uk 0.26464389 0.7526224 0.9809853      Cu
3              lm 0.30489008 0.7337024 0.9537629      Cu
4              rf 0.50950443 0.6093857 0.8011820      Cu
5           rpart 0.25995996 0.7622521 0.9841046      Cu
6       svmRadial 0.47836215 0.6335386 0.8262248      Cu
7           rk_lm 0.36309178 0.6911796 0.9129607      Cu
8           rk_rf 0.52026870 0.5942381 0.7923420      Cu
9        rk_rpart 0.35519850 0.7104329 0.9186005      Cu
10   rk_svmRadial 0.47040141 0.6402893 0.8325054      Cu
11        FFRK_lm 0.41701845 0.6525449 0.8734561      Cu
12        FFRK_rf 0.47984261 0.6053255 0.8250515      Cu
13     FFRK_rpart 0.32946403 0.6993732 0.9367522      Cu
14 FFRK_svmRadial 0.42988538 0.6329587 0.8637633      Cu
15             ok 0.16885919 0.5497545 0.6778210      Pb
16             uk 0.17860849 0.5444666 0.6738338      Pb
17             lm 0.28559643 0.5052662 0.6284193      Pb
18             rf 0.49590744 0.4122301 0.5278771      Pb
19          rpart 0.14360740 0.5570976 0.6880407      Pb
20      svmRadial 0.47691063 0.4177182 0.5377317      Pb
21          rk_lm 0.28559643 0.5052662 0.6284193      Pb
22          rk_rf 0.52177236 0.3983541 0.5141561      Pb
23       rk_rpart 0.23601476 0.5225970 0.6498605      Pb
24   rk_svmRadial 0.46956037 0.4265471 0.5414965      Pb
25        FFRK_lm 0.54331695 0.3937922 0.5024411      Pb
26        FFRK_rf 0.57562574 0.3586669 0.4843421      Pb
27     FFRK_rpart 0.41346615 0.4411302 0.5694089      Pb
28 FFRK_svmRadial 0.58394247 0.3542018 0.4795726      Pb
29             ok 0.20077203 0.5681527 0.7189837      Zn
30             uk 0.07942588 0.6115064 0.7716371      Zn
31             lm 0.28623187 0.5275795 0.6794575      Zn
32             rf 0.45341642 0.4609119 0.5945823      Zn
33          rpart 0.29422879 0.5186492 0.6756405      Zn
34      svmRadial 0.38626489 0.4679168 0.6300488      Zn
35          rk_lm 0.28623187 0.5275795 0.6794575      Zn
36          rk_rf 0.46278076 0.4552682 0.5894670      Zn
37       rk_rpart 0.32682407 0.5061459 0.6598542      Zn
38   rk_svmRadial 0.38490392 0.4688758 0.6307470      Zn
39        FFRK_lm 0.47178837 0.4417218 0.5845043      Zn
40        FFRK_rf 0.46570345 0.4436091 0.5878613      Zn
41     FFRK_rpart 0.43070488 0.4786328 0.6068096      Zn
42 FFRK_svmRadial 0.45423484 0.4479001 0.5941370      Zn
