"model","R2","MAE","RMSE","k","q"
"FFRK_lm",0.388656956343885,0.663046715093514,0.89246983451703,15,2
"FFRK_rf",0.471653910565895,0.580882218174529,0.829679399895625,15,2
"FFRK_rpart",0.370840580783901,0.681763448133474,0.905381070021009,15,2
"FFRK_svmRadial",0.378731765579586,0.660229491788559,0.899685316967521,15,2
"FFRK_lm",0.45699084223664,0.617766045141119,0.841113561820599,15,3
"FFRK_rf",0.487813615021284,0.602514275764591,0.816892809612644,15,3
"FFRK_rpart",0.366310626980315,0.673604408015611,0.908634600320965,15,3
"FFRK_svmRadial",0.419904758921634,0.637079421983811,0.869362113366847,15,3
"FFRK_lm",0.447808953847395,0.627168934120421,0.848195059673266,15,4
"FFRK_rf",0.500361712586519,0.602164883200114,0.80682419624227,15,4
"FFRK_rpart",0.357125624993627,0.678749380683172,0.915196005726853,15,4
"FFRK_svmRadial",0.473865087729406,0.606435580670374,0.82794143716138,15,4
"FFRK_lm",0.422649436835567,0.642330351760004,0.867303013450093,15,5
"FFRK_rf",0.465476844765284,0.609162425905037,0.834515332076245,15,5
"FFRK_rpart",0.319401644034139,0.695325232945438,0.941665168124053,15,5
"FFRK_svmRadial",0.378917511411519,0.660469251384654,0.899550813639435,15,5
"FFRK_lm",0.445026142856339,0.625716796267481,0.850329647156054,15,6
"FFRK_rf",0.480342185223088,0.604595113880615,0.822829379208167,15,6
"FFRK_rpart",0.337361434835611,0.700940869228884,0.929157661846752,15,6
"FFRK_svmRadial",0.405915766521911,0.639256296324924,0.879781999150995,15,6
"FFRK_lm",0.451994894453041,0.628075843329768,0.84497402909628,15,7
"FFRK_rf",0.494614043981521,0.597114987748009,0.81145164147127,15,7
"FFRK_rpart",0.350332888409588,0.673753337928792,0.920018370826798,15,7
"FFRK_svmRadial",0.442658137191549,0.618218754950485,0.852141842482954,15,7
"FFRK_lm",0.476294400664127,0.617571015513343,0.826027806371198,15,8
"FFRK_rf",0.494026342400954,0.599464509291461,0.811923313512842,15,8
"FFRK_rpart",0.352908891297669,0.678113364397637,0.918192571193161,15,8
"FFRK_svmRadial",0.440565935383867,0.63104993826919,0.85373976899408,15,8
"FFRK_lm",0.453169103981872,0.625221099251334,0.844068281503403,15,9
"FFRK_rf",0.494651927573133,0.582279633323691,0.811421227805899,15,9
"FFRK_rpart",0.375788741025415,0.671954987626668,0.90181375964594,15,9
"FFRK_svmRadial",0.437546313686551,0.624547331815933,0.856040756646017,15,9
"FFRK_lm",0.413967722786852,0.649306890777402,0.873799570166057,15,10
"FFRK_rf",0.490157851412738,0.593397438279973,0.815021238904812,15,10
"FFRK_rpart",0.339575801836565,0.701036511633202,0.927603860154115,15,10
"FFRK_svmRadial",0.450676218028853,0.613112409484755,0.845990057793752,15,10
"FFRK_lm",0.421206683764085,0.650557167766668,0.870312894397388,15,11
"FFRK_rf",0.48176353534569,0.607809068494378,0.823526631890229,15,11
"FFRK_rpart",0.322060047442452,0.705805291558799,0.941909720076602,15,11
"FFRK_svmRadial",0.427347182857912,0.631733154581464,0.865683948880424,15,11
"FFRK_lm",0.422063132059616,0.650530977418919,0.869668749143169,15,12
"FFRK_rf",0.474550194499936,0.615867143673956,0.829238165392032,15,12
"FFRK_rpart",0.333056957479242,0.703044919926616,0.934239095681951,15,12
"FFRK_svmRadial",0.430297095603073,0.63190460427602,0.863451366370509,15,12
"FFRK_lm",0.455801759847447,0.62617414429058,0.846167590116152,15,13
"FFRK_rf",0.507126344096467,0.593923080427063,0.805277608591153,15,13
"FFRK_rpart",0.357080402466759,0.676726538727154,0.919721105273722,15,13
"FFRK_svmRadial",0.443451639170821,0.62880588837941,0.855715255314036,15,13
"FFRK_lm",0.438468604752295,0.644530516278928,0.861857118117141,15,14
"FFRK_rf",0.501642308323263,0.604508633997153,0.811930459573804,15,14
"FFRK_rpart",0.340556209889537,0.694319193961334,0.933979067692145,15,14
"FFRK_svmRadial",0.448164674214994,0.631310527739432,0.854383791363192,15,14
"FFRK_lm",0.444985631709233,0.637444278452705,0.858816300208775,15,15
"FFRK_rf",0.5000219434537,0.59959312456982,0.815123919544704,15,15
"FFRK_rpart",0.353555635674262,0.695044572444998,0.926859151431669,15,15
"FFRK_svmRadial",0.45805171331243,0.62093705983815,0.848647017642408,15,15
"FFRK_lm",0.385304888865034,0.669125500208148,0.894913249463512,20,2
"FFRK_rf",0.500242214102305,0.582129972266532,0.806920674541418,20,2
"FFRK_rpart",0.363142531179411,0.686633426141734,0.910903103350102,20,2
"FFRK_svmRadial",0.397422196827359,0.654631783629273,0.886048762481627,20,2
"FFRK_lm",0.453302294789161,0.631277707937553,0.843965481000452,20,3
"FFRK_rf",0.484810275460273,0.60297580946607,0.819284341798672,20,3
"FFRK_rpart",0.397383882737639,0.665628272370797,0.88607693113635,20,3
"FFRK_svmRadial",0.454254569781772,0.611000304016158,0.843230122594121,20,3
"FFRK_lm",0.442965078022146,0.635252479484414,0.851907163228032,20,4
"FFRK_rf",0.487138989383253,0.609405726106242,0.817430617234378,20,4
"FFRK_rpart",0.330580569794319,0.699142342692891,0.933899655859906,20,4
"FFRK_svmRadial",0.435155536659735,0.634521347978174,0.85785817948644,20,4
"FFRK_lm",0.463219211742156,0.617820540280961,0.836275821007878,20,5
"FFRK_rf",0.496988052434654,0.596167563120434,0.80954353477578,20,5
"FFRK_rpart",0.424161468629256,0.635112474350917,0.866166572658843,20,5
"FFRK_svmRadial",0.451249689279653,0.617411341834999,0.845548353212551,20,5
"FFRK_lm",0.476301156700831,0.620602475720367,0.826022478289749,20,6
"FFRK_rf",0.47253202819785,0.598535530784057,0.828989644550033,20,6
"FFRK_rpart",0.277854635693517,0.726971588179643,0.969981323710642,20,6
"FFRK_svmRadial",0.423704922296492,0.635754602887455,0.866509869261012,20,6
"FFRK_lm",0.449000038301275,0.63359316472829,0.84727978104116,20,7
"FFRK_rf",0.465706034776052,0.60224305472688,0.834336403359494,20,7
"FFRK_rpart",0.316796521170034,0.696628792358618,0.943465650331786,20,7
"FFRK_svmRadial",0.472364573713443,0.600470241254755,0.829121223171945,20,7
"FFRK_lm",0.455666103836495,0.636219720488033,0.842138937410336,20,8
"FFRK_rf",0.503764134957309,0.586252983199678,0.804072359346728,20,8
