"model","R2","MAE","RMSE","k","q"
"FFRK_lm",0.471611574307657,0.432936428472983,0.540448521994394,15,2
"FFRK_rf",0.530463997245905,0.380564915759727,0.509462397174583,15,2
"FFRK_rpart",0.415105032437647,0.445204187382946,0.568612794856392,15,2
"FFRK_svmRadial",0.482036942560356,0.411951815359326,0.535090300226512,15,2
"FFRK_lm",0.535124472347797,0.403185576167611,0.506927705514437,15,3
"FFRK_rf",0.622285482762948,0.341552951868645,0.45694036477433,15,3
"FFRK_rpart",0.414943151886342,0.44525888708111,0.568691476491337,15,3
"FFRK_svmRadial",0.58233636896369,0.372627230261497,0.480497370597341,15,3
"FFRK_lm",0.521278945010287,0.403316748727542,0.514421308814102,15,4
"FFRK_rf",0.546096479968867,0.375960100542601,0.500909722062612,15,4
"FFRK_rpart",0.3950058685312,0.459772954793393,0.578300098836864,15,4
"FFRK_svmRadial",0.565023385373012,0.376282796589993,0.490355036092839,15,4
"FFRK_lm",0.547087149081128,0.394071725986985,0.500362792121502,15,5
"FFRK_rf",0.583504431479711,0.355884152017744,0.479825006663312,15,5
"FFRK_rpart",0.404552549917246,0.460008887091717,0.573719228126551,15,5
"FFRK_svmRadial",0.585086225005603,0.363376173268387,0.478912984846284,15,5
"FFRK_lm",0.536891293181332,0.402024851393966,0.505963465617576,15,6
"FFRK_rf",0.581174347534231,0.36187139439649,0.481165324880328,15,6
"FFRK_rpart",0.40439196832861,0.442842871685603,0.573796583848317,15,6
"FFRK_svmRadial",0.56568699306943,0.366916867186112,0.489980846343354,15,6
"FFRK_lm",0.521062460081332,0.404154945598769,0.514537610230138,15,7
"FFRK_rf",0.570325882580236,0.363151562679425,0.487357083085324,15,7
"FFRK_rpart",0.410513192097836,0.455853110424921,0.570840438126929,15,7
"FFRK_svmRadial",0.55109661186117,0.373929680437687,0.498143109298022,15,7
"FFRK_lm",0.518041081645157,0.410389385299846,0.516158039403586,15,8
"FFRK_rf",0.563679357285897,0.370000489144859,0.491112022337604,15,8
"FFRK_rpart",0.404478358663836,0.442388654269034,0.573754968999104,15,8
"FFRK_svmRadial",0.546079345103236,0.365327123993574,0.500919176648666,15,8
"FFRK_lm",0.51432109124633,0.411619938238946,0.518146188225857,15,9
"FFRK_rf",0.591834998056571,0.358308583894405,0.475002141144113,15,9
"FFRK_rpart",0.415141550741394,0.445044737184705,0.568595043721543,15,9
"FFRK_svmRadial",0.569939474272675,0.361100939869903,0.487576175297314,15,9
"FFRK_lm",0.533650318212063,0.397460719903086,0.507730821659766,15,10
"FFRK_rf",0.582975248643345,0.359225897270898,0.480129733261531,15,10
"FFRK_rpart",0.403967030314328,0.442784968564045,0.574001235644102,15,10
"FFRK_svmRadial",0.570686295289245,0.368086069728537,0.487152641476145,15,10
"FFRK_lm",0.554332078575162,0.393325447523557,0.49634468214365,15,11
"FFRK_rf",0.584042550675145,0.352952683574612,0.479514935535749,15,11
"FFRK_rpart",0.404639020979843,0.442567657736585,0.573677568772303,15,11
"FFRK_svmRadial",0.596620965888737,0.344640090222692,0.472209093745771,15,11
"FFRK_lm",0.511961242297952,0.410424045029026,0.518705478317345,15,12
"FFRK_rf",0.585780765452897,0.353084044684645,0.477868946154824,15,12
"FFRK_rpart",0.39612592286532,0.446392432448971,0.57698812063304,15,12
"FFRK_svmRadial",0.602006818853357,0.349473928171394,0.468415755024442,15,12
"FFRK_lm",0.503747194691297,0.409911246266072,0.522740919882489,15,13
"FFRK_rf",0.559191731685635,0.362783803503508,0.492674263893613,15,13
"FFRK_rpart",0.378367916374797,0.463923987426818,0.585061770295224,15,13
"FFRK_svmRadial",0.526296057943138,0.362635194373005,0.510726637769221,15,13
"FFRK_lm",0.524011267054353,0.401400987250913,0.511956836404258,15,14
"FFRK_rf",0.564442304269314,0.365673453693731,0.489731293611809,15,14
"FFRK_rpart",0.391965165277898,0.448661708423874,0.578627727378357,15,14
"FFRK_svmRadial",0.591290740550202,0.354611440640581,0.474397343916006,15,14
"FFRK_lm",0.504161784167006,0.411331120869029,0.52252251490296,15,15
"FFRK_rf",0.531267545477921,0.369884770381827,0.508039549995014,15,15
"FFRK_rpart",0.351806031437497,0.477879418104708,0.597430655084483,15,15
"FFRK_svmRadial",0.556700059324346,0.366800025795902,0.494064724428931,15,15
"FFRK_lm",0.496601135355542,0.420646315471628,0.527513770788383,20,2
"FFRK_rf",0.576285628172495,0.351127221327954,0.483965365632535,20,2
"FFRK_rpart",0.415105032437647,0.445204187382946,0.568612794856392,20,2
"FFRK_svmRadial",0.534004815136375,0.39423019102116,0.507537808520192,20,2
"FFRK_lm",0.535700641541393,0.39138054583508,0.506613463673104,20,3
"FFRK_rf",0.573754527953051,0.357770447326741,0.485408721116294,20,3
"FFRK_rpart",0.445200256092838,0.426686229631778,0.553790895488401,20,3
"FFRK_svmRadial",0.577678728521556,0.363058521937184,0.483169112954745,20,3
"FFRK_lm",0.497753640887371,0.409586253446583,0.526909567089054,20,4
"FFRK_rf",0.547350292266216,0.369447502267812,0.500217415159015,20,4
"FFRK_rpart",0.432668163843795,0.436180882879943,0.560010620009431,20,4
"FFRK_svmRadial",0.553448178260313,0.377827300029036,0.496836642508617,20,4
"FFRK_lm",0.545774091828864,0.389561177023472,0.501087577798775,20,5
"FFRK_rf",0.607147934533988,0.344397798322312,0.466006748478403,20,5
"FFRK_rpart",0.419059707451183,0.455751629966624,0.566687241668721,20,5
"FFRK_svmRadial",0.589787003010614,0.361576463739661,0.476192327471173,20,5
"FFRK_lm",0.526960046952697,0.399189490309712,0.5113598159601,20,6
"FFRK_rf",0.600395197717269,0.352332502347839,0.469994780498801,20,6
"FFRK_rpart",0.451317284870035,0.424485200259518,0.550729480793219,20,6
"FFRK_svmRadial",0.590321173387423,0.36486869738206,0.475882182864735,20,6
"FFRK_lm",0.537433254835574,0.385550675176826,0.505391844022773,20,7
"FFRK_rf",0.608813026162348,0.340372063627665,0.464764788660542,20,7
"FFRK_rpart",0.42978994105843,0.437043748097285,0.561123506595309,20,7
"FFRK_svmRadial",0.578024641203179,0.364889481910083,0.482708082740335,20,7
"FFRK_lm",0.550829549233991,0.376627211190329,0.498019805516285,20,8
"FFRK_rf",0.598517250068001,0.34745265036505,0.470841213644325,20,8
"FFRK_rpart",0.413198585601368,0.460765874712392,0.569228454477517,20,8
"FFRK_svmRadial",0.599318769540921,0.350577576741861,0.47037098554101,20,8
"FFRK_lm",0.534420404752106,0.388452830953489,0.507311438700685,20,9
"FFRK_rf",0.616063822149153,0.340476383391083,0.460688322691105,20,9
"FFRK_rpart",0.39949059393527,0.464998562196447,0.576152688441294,20,9
"FFRK_svmRadial",0.587491651574782,0.357134344755404,0.477522738745138,20,9
"FFRK_lm",0.564446059310792,0.374601791682746,0.491147567504199,20,10
"FFRK_rf",0.63861336768196,0.32772470464659,0.447380515668105,20,10
"FFRK_rpart",0.373611369885507,0.463408307743255,0.588996829162507,20,10
"FFRK_svmRadial",0.625591249848679,0.336027268737845,0.455369583773164,20,10
"FFRK_lm",0.560016175932347,0.376431347677085,0.493638903294539,20,11
"FFRK_rf",0.644228816961542,0.329694677138892,0.44389106955857,20,11
"FFRK_rpart",0.417570864053116,0.457832390305828,0.567953225035875,20,11
"FFRK_svmRadial",0.631402358918737,0.332920011225174,0.451821922894902,20,11
"FFRK_lm",0.539287756550088,0.391179600921116,0.504115558113733,20,12
"FFRK_rf",0.622770502649181,0.334069934224132,0.456160889142959,20,12
"FFRK_rpart",0.404479511941712,0.464884009601927,0.573143772203816,20,12
"FFRK_svmRadial",0.616467610870259,0.340181895844276,0.459955955985722,20,12
"FFRK_lm",0.539853809333491,0.393010352254139,0.504067783120482,20,13
"FFRK_rf",0.635104634617805,0.332692213052894,0.448874773567238,20,13
"FFRK_rpart",0.397341297041819,0.465419793827565,0.576868389473692,20,13
"FFRK_svmRadial",0.631542649686535,0.335795702061853,0.451060334574939,20,13
"FFRK_lm",0.526145603846879,0.393562816472766,0.512556462574481,20,14
"FFRK_rf",0.655418405498125,0.325416609320652,0.43708438837409,20,14
"FFRK_rpart",0.447568760667836,0.426947426621268,0.553424487244536,20,14
"FFRK_svmRadial",0.627131274809764,0.342656037682915,0.454670979947408,20,14
"FFRK_lm",0.521599010329545,0.398311855267727,0.5147389810185,20,15
"FFRK_rf",0.634360416178807,0.330959724073732,0.450005297905057,20,15
"FFRK_rpart",0.403201706789877,0.46536288630955,0.574916548963017,20,15
"FFRK_svmRadial",0.609407067326661,0.342543878501869,0.465107362445819,20,15
"FFRK_lm",0.556285986059882,0.384499366380067,0.492146324853463,20,16
"FFRK_rf",0.645902883251666,0.323763173299608,0.439646751840226,20,16
"FFRK_rpart",0.420867804152815,0.455786369057013,0.562252672445823,20,16
"FFRK_svmRadial",0.643659968330493,0.324196175850895,0.441036954726419,20,16
"FFRK_lm",0.54605010963451,0.385082586171783,0.501412297970321,20,17
"FFRK_rf",0.640874433205445,0.329080836776704,0.445978770591609,20,17
"FFRK_rpart",0.391958686810271,0.471941049006423,0.580306677451804,20,17
"FFRK_svmRadial",0.639608362971972,0.326098906619745,0.446764211290175,20,17
"FFRK_lm",0.52266979996096,0.390621805740885,0.514162596414509,20,18
"FFRK_rf",0.637255587250193,0.328543663207675,0.448220163514988,20,18
"FFRK_rpart",0.345023869097486,0.478507338440868,0.602287376096456,20,18
"FFRK_svmRadial",0.597943008181032,0.341307749377858,0.47188354486722,20,18
"FFRK_lm",0.521511273067671,0.392911204258867,0.514786179623129,20,19
"FFRK_rf",0.637313704574255,0.332880494388511,0.448184256139104,20,19
"FFRK_rpart",0.411878292285191,0.461439839861362,0.570722019278949,20,19
"FFRK_svmRadial",0.61080773566403,0.337521272479134,0.464272674735372,20,19
"FFRK_lm",0.496400259114862,0.399279396180772,0.522790320962702,20,20
"FFRK_rf",0.631248438527641,0.334908034277003,0.447354410442022,20,20
"FFRK_rpart",0.391491324326089,0.46526006836201,0.574669537856847,20,20
"FFRK_svmRadial",0.621886975782107,0.333743032037719,0.452997294160573,20,20
"FFRK_lm",0.494793544550213,0.420881698769262,0.528460013088049,30,2
"FFRK_rf",0.612993033606435,0.340864863524425,0.46252698631976,30,2
"FFRK_rpart",0.415105032437647,0.445204187382946,0.568612794856392,30,2
"FFRK_svmRadial",0.515877458638984,0.407779754295956,0.517315317349622,30,2
"FFRK_lm",0.513587295701652,0.400058556911074,0.518537465109749,30,3
"FFRK_rf",0.569865324577807,0.357790826961839,0.487618206667575,30,3
"FFRK_rpart",0.399929439765505,0.465432848312466,0.575942126864051,30,3
