"k","model","R2","MAE","RMSE"
2,"hier_lm",0.407982498411025,0.662133639666006,0.878250349644121
2,"hier_rf",0.487477154570186,0.604525411708569,0.81716107816469
2,"hier_rpart",0.337262940279046,0.695134328918199,0.929226714250412
2,"hier_svmRadial",0.456401837618004,0.628030753548628,0.841569618124987
3,"hier_lm",0.407982498411025,0.662133639666006,0.878250349644121
3,"hier_rf",0.49466412833701,0.599493358413624,0.811411432558722
3,"hier_rpart",0.338021187536148,0.703900284162792,0.928694991115674
3,"hier_svmRadial",0.460755421172981,0.626084169898312,0.838192850873395
4,"hier_lm",0.462751667763893,0.644141360767011,0.836639946018618
4,"hier_rf",0.52306404064975,0.591717713701406,0.788281061002685
4,"hier_rpart",0.362050198345395,0.700448250258714,0.911683955522347
4,"hier_svmRadial",0.456986166051422,0.63746228722277,0.841117183485428
5,"hier_lm",0.462751667763893,0.644141360767011,0.836639946018618
5,"hier_rf",0.522672968020042,0.595400877156657,0.788604177737042
5,"hier_rpart",0.378999277966781,0.698531264543911,0.899491598000872
5,"hier_svmRadial",0.467337738002536,0.632176543114817,0.833061421344409
6,"hier_lm",0.471191809850435,0.638920575998595,0.83004214664204
6,"hier_rf",0.517830360577565,0.591155011471251,0.792594380567779
6,"hier_rpart",0.381856732333007,0.700192304973749,0.897419764909527
6,"hier_svmRadial",0.460378938871063,0.633098604124379,0.838485398750922
7,"hier_lm",0.471191809850435,0.638920575998595,0.83004214664204
7,"hier_rf",0.516315902768024,0.595135599143963,0.793838143733631
7,"hier_rpart",0.342599203091523,0.714612375392784,0.925478153827424
7,"hier_svmRadial",0.45852375735845,0.632741577325536,0.839925490745504
8,"hier_lm",0.508941735536557,0.621701185568538,0.799866615477877
8,"hier_rf",0.530042961555905,0.580002969191308,0.782492417107325
8,"hier_rpart",0.430643895607369,0.673511047563863,0.861277395424331
8,"hier_svmRadial",0.479455573040753,0.61886777219375,0.823531013653551
9,"hier_lm",0.508941735536557,0.621701185568538,0.799866615477877
9,"hier_rf",0.531414465811347,0.58082488171229,0.781349785199687
9,"hier_rpart",0.434796824226837,0.666284038665771,0.858130533713085
9,"hier_svmRadial",0.479178456562488,0.614922009368854,0.823750191534985
10,"hier_lm",0.497165021820027,0.628681303520584,0.809401115668744
10,"hier_rf",0.534261872467582,0.572815100553058,0.77897219289186
10,"hier_rpart",0.444780598121951,0.653139187683585,0.850517737887603
10,"hier_svmRadial",0.481302720594486,0.616157710994343,0.822068568668431
