"element","k","model","R2","MAE","RMSE"
"Pb",2,"hier_lm",0.368012974996013,0.481834466502076,0.591060268312513
"Pb",2,"hier_rf",0.520981313544312,0.403056239747725,0.514581197517992
"Pb",2,"hier_rpart",0.217344660729814,0.53832850349617,0.657753188031747
"Pb",2,"hier_svmRadial",0.48366205277425,0.412099253599277,0.534250217280722
"Pb",3,"hier_lm",0.291959755025421,0.496602030229726,0.625614286056663
"Pb",3,"hier_rf",0.52145267197081,0.399663339227443,0.51432795908685
"Pb",3,"hier_rpart",0.128340390324235,0.552726310333156,0.694146513667103
"Pb",3,"hier_svmRadial",0.367754929336585,0.452467006811501,0.591180923456515
"Pb",4,"hier_lm",0.291959755025421,0.496602030229726,0.625614286056663
"Pb",4,"hier_rf",0.515858533812581,0.404059535241286,0.517325428433145
"Pb",4,"hier_rpart",0.128340390324235,0.552726310333156,0.694146513667103
"Pb",4,"hier_svmRadial",0.369619564908591,0.447411506570736,0.590308515752322
"Pb",5,"hier_lm",0.325067038433013,0.475765242565307,0.610812624532443
"Pb",5,"hier_rf",0.509900438808386,0.396271914798386,0.520498931590318
"Pb",5,"hier_rpart",0.211903187099381,0.524522422984529,0.660035768182882
"Pb",5,"hier_svmRadial",0.388408098792892,0.426866757640071,0.581444877078052
"Pb",6,"hier_lm",0.305120370977011,0.472783022043488,0.619772747504067
"Pb",6,"hier_rf",0.505043790315974,0.395043973501161,0.523071519767301
"Pb",6,"hier_rpart",0.189350255782992,0.511605803469438,0.669413259649382
"Pb",6,"hier_svmRadial",0.423391174629763,0.416238071406397,0.564570690551924
"Pb",7,"hier_lm",0.324120293292798,0.463562091161485,0.611240875385202
"Pb",7,"hier_rf",0.498289704574102,0.397860313491677,0.526628298256426
"Pb",7,"hier_rpart",0.210232162062943,0.504641287844675,0.660735144355584
"Pb",7,"hier_svmRadial",0.442820087445898,0.410541767128953,0.554977544400915
"Pb",8,"hier_lm",0.324120293292798,0.463562091161485,0.611240875385202
"Pb",8,"hier_rf",0.499720136501678,0.396705288858407,0.525877024418471
"Pb",8,"hier_rpart",0.202422657539542,0.504078662901504,0.663993899979589
"Pb",8,"hier_svmRadial",0.440117707136195,0.415072522260476,0.556321765767186
"Pb",9,"hier_lm",0.324120293292798,0.463562091161485,0.611240875385202
"Pb",9,"hier_rf",0.503067386944509,0.394684521157977,0.524114814443249
"Pb",9,"hier_rpart",0.210844784752861,0.511398461635782,0.660478828607041
"Pb",9,"hier_svmRadial",0.421202043695373,0.416242024186582,0.565641388978417
"Pb",10,"hier_lm",0.0581126417561553,0.480307179028963,0.721567841497195
"Pb",10,"hier_rf",0.519341363031481,0.398698365885657,0.515461295393844
"Pb",10,"hier_rpart",0.291657171696382,0.481523560790146,0.625747950939761
"Pb",10,"hier_svmRadial",0.431544764061736,0.414357394829755,0.560564797160344
