"element","k","model","R2","MAE","RMSE"
"Zn",2,"hier_lm",0.361263103309907,0.494487913393017,0.642753865557343
"Zn",2,"hier_rf",0.435475541903015,0.462342485204014,0.604261711570134
"Zn",2,"hier_rpart",0.355955233839951,0.50302891546673,0.645418965436117
"Zn",2,"hier_svmRadial",0.420384398320354,0.454303972963195,0.61228515320546
"Zn",3,"hier_lm",0.393474452478486,0.482020138034069,0.626337254817735
"Zn",3,"hier_rf",0.450253692479561,0.461301274705438,0.596300063691256
"Zn",3,"hier_rpart",0.392397868791847,0.481711616483656,0.626892883114061
"Zn",3,"hier_svmRadial",0.417867666100349,0.461206319928037,0.6136130062283
"Zn",4,"hier_lm",0.446907458900094,0.461526344079866,0.598112110541595
"Zn",4,"hier_rf",0.44971425622569,0.454208630627759,0.596592550424237
"Zn",4,"hier_rpart",0.458741350979424,0.454157330528874,0.591678951433246
"Zn",4,"hier_svmRadial",0.466450152561605,0.454357847926646,0.587450388368629
"Zn",5,"hier_lm",0.446907458900094,0.461526344079866,0.598112110541595
"Zn",5,"hier_rf",0.472071260008769,0.449733339309133,0.584347711929884
"Zn",5,"hier_rpart",0.447339776021051,0.465758208164702,0.597878311824477
"Zn",5,"hier_svmRadial",0.483834176928208,0.445967769257182,0.577801038149557
"Zn",6,"hier_lm",0.430101995866191,0.464001595156217,0.607130797005466
"Zn",6,"hier_rf",0.422423535780858,0.474356772346981,0.611207168385198
"Zn",6,"hier_rpart",0.443472745369547,0.47167823707519,0.599966379126241
"Zn",6,"hier_svmRadial",0.479802564262765,0.446808435085525,0.58005316223834
"Zn",7,"hier_lm",0.437755307184135,0.461100878964721,0.603040357508616
"Zn",7,"hier_rf",0.427233993034446,0.471337229375835,0.608656567950926
"Zn",7,"hier_rpart",0.427481691335152,0.473487165535275,0.608524943955224
"Zn",7,"hier_svmRadial",0.482069638322677,0.444008463524226,0.578787816362346
"Zn",8,"hier_lm",0.422481634562032,0.46906950036456,0.61117642675463
"Zn",8,"hier_rf",0.399809662777212,0.481994282001195,0.623057595635202
"Zn",8,"hier_rpart",0.42283973955354,0.477356636776649,0.610986909605918
"Zn",8,"hier_svmRadial",0.468632208611239,0.452039725768816,0.586247911261487
"Zn",9,"hier_lm",0.315892478316577,0.48848118769594,0.66519025462339
"Zn",9,"hier_rf",0.404069771652625,0.47909343130823,0.62084244836027
"Zn",9,"hier_rpart",0.428552226471686,0.477950894303261,0.607955746307135
"Zn",9,"hier_svmRadial",0.48176542911724,0.444256063620626,0.578957768491099
"Zn",10,"hier_lm",0.315892478316577,0.48848118769594,0.66519025462339
"Zn",10,"hier_rf",0.369663762439812,0.4967590214193,0.638513130759873
"Zn",10,"hier_rpart",0.423150755417474,0.468187624853498,0.610822265362799
"Zn",10,"hier_svmRadial",0.4717177572027,0.450621684333437,0.584543319757295
