"model","fold","o","p","DLONG","DLAT","autofit_model","autofit_psill","autofit_range","autofit_kappa"
"uk",1,3.25809653802148,2.35792085956981,120.4861,-28.51064,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.484906649788,2.39020304615762,120.49488,-28.49414,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,4.27666611901606,2.39981848060189,120.45822,-28.49214,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.30258509299405,2.41773389000615,120.5647,-28.48232,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.89037175789616,2.37773625593415,120.31014,-28.45715,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,1.09861228866811,2.34319990794515,120.25857,-28.43639,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,3.04452243772342,2.40687437174101,120.29261,-28.42104,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.484906649788,2.57850673608354,120.44339,-28.41644,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.63905732961526,2.54254694249436,120.38929,-28.41181,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.484906649788,2.27975500524309,120.1658,-28.39938,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,3.04452243772342,2.27159798232298,120.15079,-28.39013,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.07944154167984,2.52201261288748,120.33861,-28.37846,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,1.6094379124341,2.72391270230829,120.64138,-28.36232,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,1.38629436111989,2.73896368287638,120.74894,-28.35935,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,3.71357206670431,2.73349612009488,121.06975,-28.33466,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.56494935746154,2.17140287856506,120.07036,-28.32967,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,3.36729582998647,2.36143462840296,120.21318,-28.31409,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,1.94591014905531,2.72397784488818,121.09755,-28.29952,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.07944154167984,2.48347934272106,120.29755,-28.29935,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,1.09861228866811,2.90596694403792,120.61472,-28.29676,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,1.6094379124341,2.96758453800875,120.80632,-28.28944,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.07944154167984,2.57851729106386,120.34233,-28.28314,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.63905732961526,2.92244019395159,120.45584,-28.28031,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,3.49650756146648,2.97770289481447,120.47018,-28.27403,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,4.40671924726425,2.97744144227677,120.47007,-28.274,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,4.55387689160054,2.97996015720002,120.47104,-28.27388,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,3.49650756146648,2.9873591757259,120.47467,-28.27345,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,3.43398720448515,2.99001017464633,120.476,-28.27328,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.70805020110221,2.9902303040829,120.47617,-28.27327,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.07944154167984,2.9906612553041,120.47653,-28.27326,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,3.76120011569356,2.99099323116928,120.47668,-28.27313,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,1.38629436111989,2.37984975648996,120.24751,-28.26111,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,1.79175946922805,2.93603694310108,120.45526,-28.25692,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.99573227355399,2.82882333229428,120.42219,-28.24572,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,4.17438726989564,3.15555696338302,120.8729,-28.24239,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.30258509299405,2.35860157843561,120.2483,-28.24124,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.63905732961526,2.66907289646718,120.37454,-28.23702,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.30258509299405,2.5420027483906,120.33334,-28.23531,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,4.35670882668959,2.99982137158904,121.03916,-28.23325,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,3.25809653802148,3.10764771044772,120.5894,-28.2296,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,3.43398720448515,2.97799445723663,121.05273,-28.22525,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,4.17438726989564,3.21923705332745,120.90232,-28.22247,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,4.68582808900555,3.24027508675172,120.89085,-28.20257,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,4.70138904372863,3.23675900557706,120.88673,-28.20232,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
"uk",1,2.484906649788,2.37410243570982,120.29393,-28.18798,"Nug;Sph","1.2558;0.2452","0;1.8437","0;0"
