"model","fold","o","p","DLONG","DLAT","autofit_model","autofit_psill","autofit_range","autofit_kappa"
"uk",1,2.484906649788,2.48909743015085,120.5213099,-28.51561621,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,3.40119738166216,2.54612548090188,120.4861,-28.51063622,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.484906649788,2.48608263203001,120.51093,-28.4834662,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,1.38629436111989,2.4379147957507,120.5350799,-28.46949619,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,1.62334081760309,2.43072568403079,120.5397799,-28.46802619,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.70805020110221,2.4228467671074,120.5529899,-28.46445618,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.01490302054226,2.43700193896651,120.53735,-28.45540618,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.83321334405622,3.24908871327506,120.1262801,-28.42503631,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,3.40119738166216,2.89832193683789,120.2926098,-28.42103616,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,3.68887945411394,2.68594383325333,120.38929,-28.4118062,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.39789527279837,2.29159455536354,120.7724398,-28.39545615,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.484906649788,2.37527688099948,120.6818299,-28.39466614,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.56494935746154,2.76065612127371,120.33861,-28.37845617,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,3.46573590279973,2.45257581080789,120.5491799,-28.36575613,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.94443897916644,2.41641186241488,120.6413799,-28.36231613,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.99573227355399,2.50875015854637,120.47469,-28.34894615,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,1.48160454092422,1.93724075868529,121.08417,-28.32619642,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.07944154167984,2.58903857692239,120.40505,-28.31949616,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,2.83321334405622,2.39277904145192,120.7122899,-28.31584612,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,3.17805383034795,2.98946453946283,120.2131801,-28.3140863,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,3.2188758248682,3.16874127616553,120.12238,-28.3089463,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,3.04452243772342,3.0850397693375,120.1641701,-28.3073763,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,4.00733318523247,2.30209624294219,120.7967799,-28.30736615,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
"uk",1,1.09861228866811,1.9417170775767,121.0975498,-28.29951669,"Nug;Sph","0.8109;0.065","0;1.139","0;0"
