"model","fold","o","p","DLONG","DLAT","autofit_model","autofit_psill","autofit_range","autofit_kappa"
"uk",1,3.63758615972639,3.21044273700613,120.4861,-28.51064,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,5.37063802812766,3.21592650244838,120.45822,-28.49214,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.40119738166216,3.28942560443943,120.53746,-28.46935,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,2.99573227355399,3.16643555275232,120.35519,-28.4611,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.52636052461616,2.95245416606122,120.17125,-28.4465,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,2.19722457733622,3.36710140351533,120.65677,-28.43555,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.40119738166216,2.7879373688404,120.05543,-28.41446,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.25809653802148,3.25131490484978,120.38929,-28.41181,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.40119738166216,3.2322622552565,120.3639,-28.4068,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.46573590279973,2.98851321049597,120.1658,-28.39938,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.61091791264422,3.39134008655219,120.56237,-28.38919,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.52636052461616,3.26434354718322,120.37496,-28.3849,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,2.89037175789616,3.33315196270814,120.45307,-28.38284,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,2.77258872223978,3.36832401494803,120.49417,-28.37591,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,2.89037175789616,2.96420348474589,120.1305,-28.3607,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.8286413964891,3.44053002051828,120.54726,-28.33155,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,2.89037175789616,3.20135828111074,120.27564,-28.32945,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,2.63905732961526,3.48990947890047,120.73231,-28.32749,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,4.28358656186063,3.33442384626096,121.06529,-28.32348,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.17805383034795,3.35029170183975,120.40505,-28.3195,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,2.70805020110221,3.50316247214187,120.79678,-28.30737,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,4.31748811353631,3.40364810314259,121.00608,-28.30672,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,2.77258872223978,3.28552194207737,121.14028,-28.29698,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.17805383034795,3.40815889804958,121.01559,-28.29534,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.09104245335832,3.43695212630473,120.48783,-28.2941,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,1.94591014905531,3.51833048687945,120.80632,-28.28944,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,2.63905732961526,3.47573510583697,120.9321,-28.28414,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,2.99573227355399,3.42402894749489,120.45584,-28.28031,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.78418963391826,3.51497927881201,120.61511,-28.27848,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,2.39789527279837,3.39916222493844,121.0493,-28.27662,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,2.63905732961526,3.39721450994284,120.4197,-28.27564,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,4.56434819146784,3.43946195192325,120.46984,-28.27402,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,4.23410650459726,3.17265025503048,120.22522,-28.27335,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,4.64439089914137,3.44497480778887,120.47653,-28.27326,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,4.96284463025991,3.44518100168875,120.47668,-28.27313,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.17805383034795,3.51403637716953,120.58841,-28.26701,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.36729582998647,3.55383699233948,120.81579,-28.24712,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.09104245335832,3.22441830569483,120.2483,-28.24124,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,4.06044301054642,3.52881196424596,120.91474,-28.23615,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.87120101090789,3.37938684558003,121.11648,-28.23055,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.68887945411394,3.54208511751426,120.5894,-28.2296,"Nug;Sph","0.7269;0","0;0.1698","0;0"
"uk",1,3.29583686600433,3.4675635631254,121.02579,-28.22527,"Nug;Sph","0.7269;0","0;0.1698","0;0"
